 p    q   n_elements        n_dofs       time/it     dofs/s/it   CG_its
 1    3         1024          1377   0.000146848   9.37707e+06    52
 1    3         2048          2601   0.000107105   2.42845e+07    56
 1    3         4096          4913   0.000124945   3.93214e+07    54
 1    3         8192          9537   0.000126075   7.56455e+07    54
 1    3        16384         18513   0.000134196   1.37955e+08    56
 1    3        32768         35937   0.000149328   2.40658e+08    55
 1    3        65536         70785    0.00015313   4.62255e+08    55
 1    3       131072        139425   0.000158288    8.8083e+08    55
 1    3       262144        274625   0.000158886   1.72844e+09    53
 1    3       524288        545025   0.000161926   3.36589e+09    54
 1    3      1048576       1081665   0.000168653   6.41355e+09    55
 1    3      2097152       2146689   0.000195305   1.09915e+10    53
 1    3      4194304       4276737   0.000245756   1.74024e+10    53
 1    3      8388608       8520321   0.000345977   2.46269e+10    53
 1    3     16777216      16974593   0.000501325   3.38594e+10    52
 1    3     33554432      33883137   0.000920002   3.68294e+10    52
 1    3     67108864      67634433    0.00193839   3.48921e+10    51
 1    3    134217728     135005697    0.00374506    3.6049e+10    50
 1    3    268435456     269748225    0.00710586   3.79614e+10    49
 1    3    536870912     538970625     0.0139326   3.86841e+10    49
 1    3   1073741824    1076890625     0.0287369   3.74742e+10    45
 1    3   2147483648    2152730625     0.0584371   3.68384e+10    47

