 p    q   n_elements        n_dofs       time/it     dofs/s/it   CG_its
 5    7            8          1331   9.20544e-05   1.44588e+07   221
 5    7           16          2541   9.43458e-05   2.69328e+07   228
 5    7           32          4851   0.000108816     4.458e+07   222
 5    7           64          9261   0.000115166   8.04145e+07   223
 5    7          128         18081   0.000121837   1.48403e+08   215
 5    7          256         35301   0.000130449   2.70612e+08   212
 5    7          512         68921   0.000117783   5.85151e+08   212
 5    7         1024        136161   0.000120924   1.12601e+09   210
 5    7         2048        269001    0.00012471   2.15701e+09   210
 5    7         4096        531441   0.000158076   3.36193e+09   211
 5    7         8192       1056321     0.0001545   6.83704e+09   210
 5    7        16384       2099601   0.000159277    1.3182e+10   209
 5    7        32768       4173281   0.000178257   2.34116e+10   206
 5    7        65536       8320641    0.00020202   4.11873e+10   205
 5    7       131072      16589601   0.000240896   6.88662e+10   204
 5    7       262144      33076161   0.000317562   1.04157e+11   203
 5    7       524288      66049281   0.000488467   1.35217e+11   201
 5    7      1048576     131892801   0.000986487   1.33699e+11   199
 5    7      2097152     263374721     0.0021035   1.25208e+11   198
 5    7      4194304     526338561    0.00504558   1.04317e+11   196
 5    7      8388608    1051856001     0.0104872   1.00299e+11   194
 5    7     16777216    2102071041     0.0226062   9.29866e+10   191
 5    7     33554432    4202501121     0.0405331   1.03681e+11   188
 5    7     67108864    8401721601     0.0792326   1.06039e+11   185

