 p   q  n_elements       n_dofs      time/it    dofs/s/it  CG_its  time/matvec
 1   2        1024         1377  3.61668e-05  3.80736e+07      52    1.054e-05
 1   2        2048         2601  1.82954e-05  1.42167e+08      56  1.16564e-05
 1   2        4096         4913    2.087e-05  2.35409e+08      54  1.33278e-05
 1   2        8192         9537  2.57852e-05  3.69863e+08      54  1.77993e-05
 1   2       16384        18513  3.82221e-05  4.84353e+08      55  2.94745e-05
 1   2       32768        35937  6.19012e-05  5.80554e+08      55  4.99347e-05
 1   2       65536        70785  0.000106975  6.61699e+08      55  9.00703e-05
 1   2      131072       139425  0.000189811  7.34547e+08      55  0.000167628
 1   2      262144       274625  0.000338753  8.10695e+08      55  0.000296311
 1   2      524288       545025  0.000696522  7.82495e+08      55  0.000589092
 1   2     1048576      1081665   0.00174094  6.21311e+08      55   0.00130533
 1   2     2097152      2146689   0.00390609  5.49575e+08      54   0.00288658
 1   2     4194304      4276737   0.00921215  4.64249e+08      54   0.00601776
 1   2     8388608      8520321    0.0187958  4.53309e+08      54    0.0118879
 1   2    16777216     16974593    0.0371947  4.56371e+08      53    0.0235097

