 p   q  n_elements       n_dofs      time/it    dofs/s/it  CG_its
 5   7           8         1331  4.58864e-05  2.90064e+07  221
 5   7          16         2541  3.59259e-05  7.07289e+07  228
 5   7          32         4851  4.01177e-05  1.20919e+08  222
 5   7          64         9261  4.66274e-05  1.98617e+08  223
 5   7         128        18081   4.7066e-05  3.84162e+08  215
 5   7         256        35301  6.90696e-05  5.11093e+08  216
 5   7         512        68921  0.000108287  6.36467e+08  213
 5   7        1024       136161  0.000181213  7.51388e+08  212
 5   7        2048       269001  0.000330265    8.145e+08  211
 5   7        4096       531441  0.000654486  8.11998e+08  212
 5   7        8192      1056321   0.00155749   6.7822e+08  210
 5   7       16384      2099601   0.00444475  4.72378e+08  209
 5   7       32768      4173281    0.0097798  4.26724e+08  208
 5   7       65536      8320641    0.0196252  4.23977e+08  206
 5   7      131072     16589601    0.0389744  4.25653e+08  204

