 p   q  n_elements       n_dofs      time/it    dofs/s/it  CG_its
 3   5          32         1183  5.43106e-05  2.17821e+07  122
 3   5          64         2197  3.16563e-05  6.94017e+07  125
 3   5         128         4225  3.22522e-05  1.30999e+08  127
 3   5         256         8125  3.86697e-05  2.10113e+08  130
 3   5         512        15625  4.90937e-05  3.18269e+08  128
 3   5        1024        30625   6.9273e-05  4.42091e+08  125
 3   5        2048        60025  0.000108782   5.5179e+08  124
 3   5        4096       117649  0.000183209  6.42156e+08  124
 3   5        8192       232897  0.000330764  7.04118e+08  123
 3   5       16384       461041  0.000678393  6.79608e+08  122
 3   5       32768       912673   0.00152289  5.99302e+08  122
 3   5       65536      1815937   0.00394866  4.59887e+08  121
 3   5      131072      3613153   0.00896154  4.03184e+08  120
 3   5      262144      7189057    0.0184833  3.88948e+08  120
 3   5      524288     14340865    0.0360197   3.9814e+08  119

