 p    q   n_elements        n_dofs       time/it     dofs/s/it   CG_its
 7    9            8          3375   0.000124133   2.71886e+07   232
 7    9           16          6525   0.000125958   5.18029e+07   264
 7    9           32         12615   0.000139108   9.06847e+07   268
 7    9           64         24389   0.000148187   1.64583e+08   241
 7    9          128         47937   0.000153787   3.11711e+08   244
 7    9          256         94221   0.000164582   5.72486e+08   244
 7    9          512        185193   0.000151983   1.21851e+09   244
 7    9         1024        367137   0.000156348   2.34821e+09   244
 7    9         2048        727833   0.000163303   4.45696e+09   238
 7    9         4096       1442897   0.000194784   7.40768e+09   236
 7    9         8192       2873025    0.00019991   1.43716e+10   235
 7    9        16384       5720625   0.000198424   2.88303e+10   231
 7    9        32768      11390625   0.000220091   5.17541e+10   230
 7    9        65536      22730625   0.000284572   7.98766e+10   231
 7    9       131072      45360225   0.000408114   1.11146e+11   230
 7    9       262144      90518849      0.000725   1.24854e+11   226
 7    9       524288     180836097    0.00129629   1.39503e+11   223
 7    9      1048576     361269441    0.00271453   1.33087e+11   222
 7    9      2097152     721734273    0.00656704   1.09903e+11   219
 7    9      4194304    1442663937     0.0134339    1.0739e+11   217
 7    9      8388608    2883719553     0.0285406   1.01039e+11   211
 7    9     16777216    5764224257      0.053191   1.08368e+11   209
 7    9     33554432   11525233665      0.102461   1.12484e+11   207

