 p    q   n_elements        n_dofs       time/it     dofs/s/it   CG_its   time/matvec
 6    8            8          2197   4.69961e-05   4.67486e+07      276   2.15793e-05
 6    8           16          4225   4.89556e-05   8.63027e+07      269   2.46191e-05
 6    8           32          8125   5.30188e-05   1.53248e+08      276   2.77781e-05
 6    8           64         15625   6.05816e-05   2.57917e+08      277   3.30806e-05
 6    8          128         30625   6.14652e-05    4.9825e+08      275    3.4802e-05
 6    8          256         60025   9.46486e-05   6.34188e+08      267   5.92089e-05
 6    8          512        117649   0.000159698   7.36699e+08      261   0.000108099
 6    8         1024        232897    0.00027839   8.36585e+08      259   0.000199392
 6    8         2048        461041   0.000534409   8.62711e+08      259   0.000398309
 6    8         4096        912673    0.00119062   7.66551e+08      260   0.000817692
 6    8         8192       1815937    0.00339978   5.34134e+08      258    0.00188577
 6    8        16384       3613153    0.00815891   4.42847e+08      257    0.00413474
 6    8        32768       7189057     0.0163217   4.40459e+08      257    0.00823156
 6    8        65536      14340865     0.0324186   4.42365e+08      254      0.016247
 6    8       131072      28607425       0.06459   4.42908e+08      254     0.0324448
 6    8       262144      57066625      0.128688    4.4345e+08      254     0.0648224
