 p    q   n_elements        n_dofs       time/it     dofs/s/it   CG_its
 2    4          128          1377   0.000149078   9.23677e+06    79
 2    4          256          2601   0.000120359   2.16104e+07    78
 2    4          512          4913    0.00010747   4.57149e+07    72
 2    4         1024          9537   0.000110999     8.592e+07    73
 2    4         2048         18513   0.000112204   1.64995e+08    73
 2    4         4096         35937   0.000133085   2.70031e+08    71
 2    4         8192         70785    0.00014114   5.01522e+08    71
 2    4        16384        139425   0.000136229   1.02346e+09    70
 2    4        32768        274625   0.000157581   1.74276e+09    69
 2    4        65536        545025   0.000163222   3.33916e+09    68
 2    4       131072       1081665   0.000169178   6.39367e+09    67
 2    4       262144       2146689   0.000174431   1.23068e+10    65
 2    4       524288       4276737   0.000178289   2.39876e+10    65
 2    4      1048576       8520321   0.000228277   3.73245e+10    65
 2    4      2097152      16974593   0.000331254   5.12434e+10    63
 2    4      4194304      33883137   0.000506715   6.68682e+10    63
 2    4      8388608      67634433   0.000769111   8.79384e+10    62
 2    4     16777216     135005697    0.00136013   9.92596e+10    62
 2    4     33554432     269748225    0.00336336   8.02019e+10    61
 2    4     67108864     538970625    0.00590251   9.13121e+10    61
 2    4    134217728    1076890625     0.0149963   7.18103e+10    60
 2    4    268435456    2152730625      0.024684   8.72117e+10    60
 2    4    536870912    4303361025     0.0491513   8.75533e+10    58

