 p    q   n_elements        n_dofs       time/it     dofs/s/it   CG_its   time/matvec
 6    8            8          2197   0.000198326   1.10777e+07      276   2.16699e-05
 6    8           16          4225   0.000168059   2.51399e+07      269   3.42393e-05
 6    8           32          8125   0.000154036   5.27475e+07      276   4.69494e-05
 6    8           64         15625   0.000167953   9.30322e+07      277   5.36394e-05
 6    8          128         30625   0.000183422   1.66965e+08      275   5.96213e-05
 6    8          256         60025   0.000186187   3.22391e+08      268   6.81686e-05
 6    8          512        117649   0.000213534   5.50961e+08      260    7.8311e-05
 6    8         1024        232897   0.000205031   1.13591e+09      258   7.96199e-05
 6    8         2048        461041   0.000190736   2.41717e+09      258   5.65219e-05
 6    8         4096        912673   0.000187946   4.85605e+09      259    5.7621e-05
 6    8         8192       1815937   0.000203968   8.90303e+09      257   6.20914e-05
 6    8        16384       3613153   0.000234367   1.54166e+10      256   9.83906e-05
 6    8        32768       7189057   0.000240887   2.98441e+10      257   7.92789e-05
 6    8        65536      14340865    0.00024664    5.8145e+10      253   7.56598e-05
 6    8       131072      28607425   0.000287064   9.96554e+10      253    9.4738e-05
 6    8       262144      57066625   0.000351004   1.62581e+11      254   0.000128999
 6    8       524288     113985025   0.000423056   2.69432e+11      249    0.00016577
 6    8      1048576     227673985   0.000600653   3.79044e+11      250   0.000321729
 6    8      2097152     454756609    0.00101857   4.46465e+11      250   0.000479498
 6    8      4194304     908921857    0.00192534   4.72084e+11      246   0.000954599
 6    8      8388608    1816661761    0.00458858   3.95909e+11      245     0.0024965
 6    8     16777216    3630961153    0.00955269   3.80098e+11      244    0.00448012
 6    8     33554432    7259559937     0.0187676   3.86813e+11      240    0.00883913
 6    8     67108864   14514396673     0.0357085   4.06469e+11      239      0.017148
 6    8    134217728   29019350017      0.068932   4.20985e+11      235     0.0372364
 6    8    268435456   58029256705      0.139334   4.16476e+11      228      0.067138
