 p   q  n_elements       n_dofs      time/it    dofs/s/it  CG_its
 1   2        1024         1377  0.000188213  7.31617e+06   52
 1   2        2048         2601   3.3474e-05  7.77022e+07   55
 1   2        4096         4913  3.97349e-05  1.23644e+08   53
 1   2        8192         9537  5.09226e-05  1.87284e+08   53
 1   2       16384        18513  7.83097e-05  2.36408e+08   55
 1   2       32768        35937  0.000131746  2.72775e+08   55
 1   2       65536        70785  0.000228219  3.10163e+08   55
 1   2      131072       139425  0.000413716  3.37007e+08   56
 1   2      262144       274625  0.000860576  3.19118e+08   54
 1   2      524288       545025   0.00175104  3.11258e+08   55
 1   2     1048576      1081665   0.00375368  2.88162e+08   55
 1   2     2097152      2146689   0.00832181  2.57959e+08   53
 1   2     4194304      4276737    0.0171874   2.4883e+08   54

