 p   q  n_elements       n_dofs      time/it    dofs/s/it  CG_its
 2   3         128         1377  7.22355e-05  1.90626e+07   90
 2   3         256         2601  3.00869e-05  8.64496e+07   93
 2   3         512         4913  3.38503e-05  1.45139e+08   93
 2   3        1024         9537  3.75535e-05  2.53958e+08   92
 2   3        2048        18513  4.89465e-05  3.78229e+08   91
 2   3        4096        35937    7.333e-05  4.90072e+08   88
 2   3        8192        70785  0.000130264  5.43395e+08   87
 2   3       16384       139425  0.000197794  7.04899e+08   87
 2   3       32768       274625  0.000369463  7.43309e+08   86
 2   3       65536       545025  0.000768589  7.09125e+08   85
 2   3      131072      1081665   0.00175492  6.16362e+08   85
 2   3      262144      2146689   0.00472265  4.54552e+08   85
 2   3      524288      4276737    0.0100182  4.26897e+08   84
 2   3     1048576      8520321    0.0203994  4.17675e+08   84

