 p    q   n_elements        n_dofs       time/it     dofs/s/it   CG_its
 2    4          128          1377   0.000151745   9.07441e+06    90
 2    4          256          2601   0.000115379   2.25431e+07    92
 2    4          512          4913   0.000103186    4.7613e+07    92
 2    4         1024          9537   0.000107598   8.86352e+07    90
 2    4         2048         18513   0.000110001   1.68298e+08    90
 2    4         4096         35937   0.000136034   2.64176e+08    88
 2    4         8192         70785   0.000134185   5.27517e+08    86
 2    4        16384        139425   0.000133697   1.04284e+09    86
 2    4        32768        274625   0.000152139    1.8051e+09    86
 2    4        65536        545025   0.000156742   3.47721e+09    85
 2    4       131072       1081665   0.000157976   6.84701e+09    85
 2    4       262144       2146689   0.000165294   1.29871e+10    85
 2    4       524288       4276737    0.00018394   2.32507e+10    84
 2    4      1048576       8520321    0.00020632   4.12966e+10    84
 2    4      2097152      16974593   0.000304585   5.57302e+10    84
 2    4      4194304      33883137   0.000425494   7.96325e+10    83
 2    4      8388608      67634433   0.000717312   9.42887e+10    83
 2    4     16777216     135005697    0.00149245   9.04594e+10    83
 2    4     33554432     269748225    0.00314505   8.57692e+10    82
 2    4     67108864     538970625     0.0069154   7.79378e+10    81
 2    4    134217728    1076890625     0.0137825   7.81344e+10    80
 2    4    268435456    2152730625     0.0267503    8.0475e+10    78
 2    4    536870912    4303361025       0.05504    7.8186e+10    76

