 p    q   n_elements        n_dofs       time/it     dofs/s/it   CG_its
 7    9            8          3375   0.000132913   2.53926e+07   296
 7    9           16          6525   0.000131454   4.96372e+07   311
 7    9           32         12615    0.00013959   9.03718e+07   327
 7    9           64         24389   0.000146168   1.66855e+08   320
 7    9          128         47937   0.000154888   3.09494e+08   305
 7    9          256         94221   0.000162835   5.78628e+08   302
 7    9          512        185193   0.000150045   1.23425e+09   307
 7    9         1024        367137   0.000159479    2.3021e+09   301
 7    9         2048        727833   0.000160673   4.52989e+09   300
 7    9         4096       1442897    0.00019303   7.47499e+09   302
 7    9         8192       2873025   0.000201758   1.42399e+10   298
 7    9        16384       5720625   0.000197868   2.89113e+10   297
 7    9        32768      11390625   0.000216379   5.26421e+10   296
 7    9        65536      22730625   0.000282202   8.05474e+10   298
 7    9       131072      45360225   0.000421682    1.0757e+11   295
 7    9       262144      90518849   0.000746206   1.21305e+11   292
 7    9       524288     180836097    0.00137457   1.31558e+11   288
 7    9      1048576     361269441    0.00292647   1.23449e+11   286
 7    9      2097152     721734273    0.00689238   1.04715e+11   284
 7    9      4194304    1442663937     0.0152285   9.47343e+10   281
 7    9      8388608    2883719553      0.027396   1.05261e+11   278
 7    9     16777216    5764224257     0.0541284   1.06492e+11   275
 7    9     33554432   11525233665      0.104407   1.10387e+11   271

