 p   q  n_elements       n_dofs      time/it    dofs/s/it  CG_its
 2   4         128         1377  6.68446e-05     2.06e+07   90
 2   4         256         2601   2.9669e-05  8.76672e+07   93
 2   4         512         4913  3.67959e-05   1.3352e+08   93
 2   4        1024         9537  4.26406e-05   2.2366e+08   92
 2   4        2048        18513  6.01208e-05   3.0793e+08   91
 2   4        4096        35937   9.4067e-05  3.82036e+08   88
 2   4        8192        70785  0.000150771  4.69487e+08   87
 2   4       16384       139425  0.000268207  5.19841e+08   87
 2   4       32768       274625  0.000513152  5.35173e+08   86
 2   4       65536       545025    0.0012068  4.51628e+08   85
 2   4      131072      1081665   0.00258698  4.18119e+08   85
 2   4      262144      2146689   0.00616313  3.48312e+08   85
 2   4      524288      4276737    0.0128378  3.33135e+08   84
 2   4     1048576      8520321    0.0258156  3.30046e+08   84

