 p    q   n_elements        n_dofs       time/it     dofs/s/it   CG_its
 3    5           32          1183   0.000127917   9.24815e+06   122
 3    5           64          2197   0.000107609   2.04165e+07   125
 3    5          128          4225   0.000111495   3.78939e+07   127
 3    5          256          8125   0.000122978   6.60688e+07   129
 3    5          512         15625   0.000108079   1.44571e+08   127
 3    5         1024         30625   0.000112597   2.71988e+08   124
 3    5         2048         60025   0.000112082   5.35547e+08   124
 3    5         4096        117649   0.000154782   7.60096e+08   124
 3    5         8192        232897    0.00014109    1.6507e+09   123
 3    5        16384        461041   0.000142034     3.246e+09   123
 3    5        32768        912673   0.000164704   5.54128e+09   122
 3    5        65536       1815937   0.000164818   1.10178e+10   121
 3    5       131072       3613153   0.000177075   2.04046e+10   120
 3    5       262144       7189057   0.000185708   3.87116e+10   120
 3    5       524288      14340865   0.000234369   6.11891e+10   119
 3    5      1048576      28607425   0.000326779   8.75437e+10   118
 3    5      2097152      57066625   0.000495024   1.15281e+11   118
 3    5      4194304     113985025    0.00101226   1.12605e+11   117
 3    5      8388608     227673985    0.00214435   1.06174e+11   115
 3    5     16777216     454756609    0.00462065   9.84184e+10   115
 3    5     33554432     908921857    0.00969365   9.37647e+10   113
 3    5     67108864    1816661761     0.0191431   9.48991e+10   111
 3    5    134217728    3630961153     0.0373252   9.72791e+10   108
 3    5    268435456    7259559937     0.0756927   9.59084e+10   105

