 p    q   n_elements        n_dofs       time/it     dofs/s/it   CG_its
 1    3         1024          1377   0.000194167   7.09183e+06    48
 1    3         2048          2601   0.000113085   2.30004e+07    48
 1    3         4096          4913   0.000129999   3.77926e+07    47
 1    3         8192          9537    0.00012971   7.35258e+07    48
 1    3        16384         18513   0.000142167    1.3022e+08    48
 1    3        32768         35937   0.000154323   2.32869e+08    47
 1    3        65536         70785   0.000157955   4.48134e+08    47
 1    3       131072        139425   0.000157849   8.83283e+08    46
 1    3       262144        274625   0.000163742   1.67718e+09    46
 1    3       524288        545025     0.0001632   3.33961e+09    45
 1    3      1048576       1081665   0.000168133    6.4334e+09    45
 1    3      2097152       2146689   0.000177069   1.21235e+10    44
 1    3      4194304       4276737   0.000225067    1.9002e+10    44
 1    3      8388608       8520321   0.000304976   2.79377e+10    43
 1    3     16777216      16974593    0.00047646   3.56265e+10    43
 1    3     33554432      33883137   0.000890394   3.80541e+10    43
 1    3     67108864      67634433    0.00167057   4.04858e+10    42
 1    3    134217728     135005697     0.0028931   4.66647e+10    41
 1    3    268435456     269748225    0.00564264   4.78053e+10    39
 1    3    536870912     538970625     0.0138947   3.87895e+10    38
 1    3   1073741824    1076890625     0.0254268   4.23526e+10    37
 1    3   2147483648    2152730625     0.0511969    4.2048e+10    37

