 p   q  n_elements       n_dofs      time/it    dofs/s/it  CG_its  time/matvec
 5   7           8         1331  1.54423e-05  8.61917e+07     211  7.47852e-06
 5   7          16         2541  1.69451e-05  1.49955e+08     219  8.81205e-06
 5   7          32         4851   2.0261e-05  2.39425e+08     207  1.14004e-05
 5   7          64         9261  2.24922e-05  4.11744e+08     217  1.32278e-05
 5   7         128        18081  2.41645e-05  7.48247e+08     209  1.44583e-05
 5   7         256        35301  3.88429e-05  9.08815e+08     203  2.79946e-05
 5   7         512        68921  5.36878e-05  1.28374e+09     210  3.82955e-05
 5   7        1024       136161  8.25822e-05  1.64879e+09     209  6.11588e-05
 5   7        2048       269001  0.000144355  1.86347e+09     210  0.000111105
 5   7        4096       531441  0.000273753  1.94131e+09     211  0.000205028
 5   7        8192      1056321  0.000578012  1.82751e+09     209  0.000395533
 5   7       16384      2099601   0.00191479  1.09652e+09     208   0.00101139
 5   7       32768      4173281   0.00583784  7.14868e+08     207   0.00278341
 5   7       65536      8320641    0.0127109  6.54605e+08     205   0.00599822
 5   7      131072     16589601    0.0250145    6.632e+08     204    0.0119174
 5   7      262144     33076161    0.0497746  6.64519e+08     203    0.0235402
 5   7      524288     66049281    0.0984928    6.706e+08     201    0.0464101

