 p   q  n_elements       n_dofs      time/it    dofs/s/it  CG_its
 1   3        1024         1377  9.21167e-05  1.49484e+07   52
 1   3        2048         2601  3.51646e-05  7.39665e+07   55
 1   3        4096         4913  4.61497e-05  1.06458e+08   53
 1   3        8192         9537  7.01535e-05  1.35945e+08   53
 1   3       16384        18513  0.000112911  1.63961e+08   55
 1   3       32768        35937  0.000185906  1.93308e+08   55
 1   3       65536        70785  0.000339603  2.08434e+08   55
 1   3      131072       139425  0.000696178  2.00272e+08   56
 1   3      262144       274625   0.00155537  1.76566e+08   54
 1   3      524288       545025   0.00295962  1.84154e+08   55
 1   3     1048576      1081665   0.00613409  1.76337e+08   55
 1   3     2097152      2146689    0.0130319  1.64726e+08   53
 1   3     4194304      4276737    0.0259747   1.6465e+08   54

