 p   q  n_elements       n_dofs      time/it    dofs/s/it  CG_its  time/matvec
 2   4         128         1377  1.43864e-05  9.57157e+07      88  5.45166e-06
 2   4         256         2601  1.59836e-05  1.62729e+08      91  9.18275e-06
 2   4         512         4913  1.81805e-05  2.70235e+08      92  1.13977e-05
 2   4        1024         9537  2.03151e-05  4.69455e+08      90  1.29803e-05
 2   4        2048        18513  2.86037e-05  6.47224e+08      90  1.99682e-05
 2   4        4096        35937  4.08817e-05  8.79049e+08      88  3.15662e-05
 2   4        8192        70785  6.68198e-05  1.05934e+09      87  5.14777e-05
 2   4       16384       139425   0.00011722  1.18943e+09      87  9.36979e-05
 2   4       32768       274625  0.000216442  1.26881e+09      86  0.000170818
 2   4       65536       545025  0.000449082  1.21364e+09      86  0.000344007
 2   4      131072      1081665   0.00129269  8.36756e+08      86  0.000878823
 2   4      262144      2146689   0.00335089  6.40632e+08      86   0.00225118
 2   4      524288      4276737   0.00811776  5.26837e+08      85   0.00514529
 2   4     1048576      8520321    0.0164986  5.16427e+08      85   0.00988941
 2   4     2097152     16974593      0.03323  5.10821e+08      85    0.0196901
 2   4     4194304     33883137    0.0654768  5.17483e+08      84    0.0384523

