 p    q   n_elements        n_dofs       time/it     dofs/s/it   CG_its
 1    2         1024          1377    0.00037429   3.67897e+06    52
 1    2         2048          2601   0.000108557   2.39597e+07    56
 1    2         4096          4913    0.00012302   3.99367e+07    54
 1    2         8192          9537   0.000122741   7.76999e+07    54
 1    2        16384         18513   0.000125945   1.46993e+08    56
 1    2        32768         35937   0.000151452   2.37283e+08    55
 1    2        65536         70785       0.00015     4.719e+08    55
 1    2       131072        139425   0.000147581   9.44735e+08    55
 1    2       262144        274625   0.000150226   1.82808e+09    53
 1    2       524288        545025   0.000154575   3.52596e+09    54
 1    2      1048576       1081665   0.000154313   7.00954e+09    55
 1    2      2097152       2146689   0.000164473   1.30519e+10    53
 1    2      4194304       4276737   0.000194716    2.1964e+10    53
 1    2      8388608       8520321   0.000256642   3.31993e+10    53
 1    2     16777216      16974593   0.000372767   4.55367e+10    52
 1    2     33554432      33883137   0.000618247   5.48052e+10    52
 1    2     67108864      67634433    0.00110282   6.13285e+10    51
 1    2    134217728     135005697    0.00226778   5.95321e+10    50
 1    2    268435456     269748225    0.00555792    4.8534e+10    49
 1    2    536870912     538970625    0.00900939   5.98232e+10    49
 1    2   1073741824    1076890625     0.0190037   5.66675e+10    45
 1    2   2147483648    2152730625     0.0373889   5.75767e+10    47

