 p   q  n_elements       n_dofs      time/it    dofs/s/it  CG_its  time/matvec
 2   3         128         1377  1.45316e-05  9.47588e+07      88  5.24207e-06
 2   3         256         2601  1.52518e-05  1.70537e+08      91  8.74832e-06
 2   3         512         4913  1.73276e-05  2.83535e+08      92  1.05579e-05
 2   3        1024         9537  1.90103e-05  5.01676e+08      90  1.19169e-05
 2   3        2048        18513  2.52288e-05  7.33803e+08      90  1.73106e-05
 2   3        4096        35937  3.52688e-05  1.01895e+09      88   2.5564e-05
 2   3        8192        70785  5.39297e-05  1.31254e+09      87  4.02088e-05
 2   3       16384       139425  9.24031e-05  1.50888e+09      87  6.93445e-05
 2   3       32768       274625  0.000164769  1.66673e+09      86  0.000123439
 2   3       65536       545025  0.000312068  1.74649e+09      86  0.000227037
 2   3      131072      1081665   0.00068643  1.57578e+09      86  0.000452783
 2   3      262144      2146689   0.00230804  9.30092e+08      86   0.00123706
 2   3      524288      4276737    0.0064885  6.59126e+08      85   0.00329678
 2   3     1048576      8520321     0.013456  6.33199e+08      85   0.00686232
 2   3     2097152     16974593    0.0270563   6.2738e+08      85    0.0134908
 2   3     4194304     33883137    0.0535386  6.32873e+08      84    0.0265702

