 p    q   n_elements        n_dofs       time/it     dofs/s/it   CG_its
 8   10            8          4913   0.000133539   3.67908e+07   284
 8   10           16          9537   0.000145658   6.54753e+07   316
 8   10           32         18513   0.000161756    1.1445e+08   315
 8   10           64         35937   0.000168244     2.136e+08   279
 8   10          128         70785   0.000175219    4.0398e+08   283
 8   10          256        139425   0.000185911   7.49957e+08   282
 8   10          512        274625   0.000175184   1.56764e+09   278
 8   10         1024        545025   0.000182015    2.9944e+09   277
 8   10         2048       1081665   0.000192554   5.61746e+09   276
 8   10         4096       2146689   0.000218349   9.83146e+09   275
 8   10         8192       4276737   0.000224719   1.90315e+10   270
 8   10        16384       8520321   0.000222461   3.83002e+10   269
 8   10        32768      16974593    0.00025065   6.77222e+10   260
 8   10        65536      33883137   0.000350521    9.6665e+10   259
 8   10       131072      67634433    0.00059606   1.13469e+11   249
 8   10       262144     135005697    0.00103107   1.30938e+11   244
 8   10       524288     269748225    0.00191483   1.40873e+11   243
 8   10      1048576     538970625    0.00470795   1.14481e+11   237
 8   10      2097152    1076890625     0.0110312    9.7622e+10   230
 8   10      4194304    2152730625     0.0210422   1.02306e+11   229
 8   10      8388608    4303361025     0.0420205   1.02411e+11   227
 8   10     16777216    8602523649     0.0782283   1.09967e+11   221
 8   10     33554432   17200848897      0.160727   1.07019e+11   206

