 p   q  n_elements       n_dofs      time/it    dofs/s/it  CG_its
 7   9           8         3375  6.93307e-05  4.86798e+07  296
 7   9          16         6525  6.96366e-05  9.37007e+07  311
 7   9          32        12615  7.53425e-05  1.67435e+08  327
 7   9          64        24389  8.20935e-05  2.97088e+08  320
 7   9         128        47937  8.37115e-05  5.72645e+08  305
 7   9         256        94221  0.000137294   6.8627e+08  309
 7   9         512       185193  0.000238065  7.77909e+08  309
 7   9        1024       367137  0.000439137  8.36043e+08  306
 7   9        2048       727833   0.00091757  7.93218e+08  302
 7   9        4096      1442897   0.00240273  6.00525e+08  304
 7   9        8192      2873025   0.00630791  4.55464e+08  300
 7   9       16384      5720625    0.0132267  4.32506e+08  298
 7   9       32768     11390625    0.0261514  4.35565e+08  297
 7   9       65536     22730625    0.0515344  4.41077e+08  294


