 p    q   n_elements        n_dofs       time/it     dofs/s/it   CG_its
 1    2         1024          1377   0.000376498   3.65739e+06    48
 1    2         2048          2601   0.000108689   2.39306e+07    48
 1    2         4096          4913   0.000128173   3.83311e+07    47
 1    2         8192          9537    0.00012662   7.53198e+07    48
 1    2        16384         18513   0.000129312   1.43165e+08    48
 1    2        32768         35937   0.000165255   2.17465e+08    47
 1    2        65536         70785   0.000159345   4.44225e+08    47
 1    2       131072        139425   0.000152132   9.16475e+08    46
 1    2       262144        274625   0.000159217   1.72485e+09    46
 1    2       524288        545025    0.00015938   3.41965e+09    45
 1    2      1048576       1081665   0.000161775   6.68623e+09    45
 1    2      2097152       2146689   0.000164704   1.30336e+10    44
 1    2      4194304       4276737   0.000189906   2.25203e+10    44
 1    2      8388608       8520321   0.000248532   3.42826e+10    43
 1    2     16777216      16974593   0.000358582   4.73382e+10    43
 1    2     33554432      33883137   0.000556974   6.08344e+10    43
 1    2     67108864      67634433    0.00102612   6.59128e+10    42
 1    2    134217728     135005697    0.00199508   6.76695e+10    41
 1    2    268435456     269748225       0.00382   7.06148e+10    39
 1    2    536870912     538970625    0.00838676   6.42644e+10    38
 1    2   1073741824    1076890625     0.0173999   6.18907e+10    37
 1    2   2147483648    2152730625     0.0358077   6.01193e+10    37

