 p   q  n_elements       n_dofs      time/it    dofs/s/it  CG_its  time/matvec
 3   5          32         1183  1.42265e-05  8.31544e+07     119  5.05576e-06
 3   5          64         2197  1.41798e-05  1.54939e+08     123  6.64389e-06
 3   5         128         4225  1.55724e-05  2.71313e+08     124  7.37436e-06
 3   5         256         8125   2.0683e-05  3.92835e+08     127  1.33288e-05
 3   5         512        15625  2.54327e-05  6.14367e+08     127  1.71318e-05
 3   5        1024        30625   3.2102e-05  9.53991e+08     124  2.23364e-05
 3   5        2048        60025  5.02766e-05   1.1939e+09     123  3.68969e-05
 3   5        4096       117649  8.51239e-05  1.38209e+09     124  6.46425e-05
 3   5        8192       232897    0.0001461  1.59409e+09     122  0.000111564
 3   5       16384       461041  0.000276762  1.66584e+09     121   0.00021261
 3   5       32768       912673  0.000600372  1.52018e+09     122  0.000414213
 3   5       65536      1815937   0.00192843  9.41665e+08     121   0.00112186
 3   5      131072      3613153   0.00544909  6.63075e+08     120   0.00292744
 3   5      262144      7189057    0.0117393  6.12394e+08     120   0.00623914
 3   5      524288     14340865    0.0238068  6.02385e+08     119    0.0124268
 3   5     1048576     28607425    0.0464314  6.16122e+08     118     0.024314
 3   5     2097152     57066625    0.0931393  6.12702e+08     118    0.0479958

