 p    q   n_elements        n_dofs       time/it     dofs/s/it   CG_its
 4    6           16          1377   0.000103047   1.33629e+07   172
 4    6           32          2601    0.00010015   2.59709e+07   179
 4    6           64          4913   0.000112114   4.38216e+07   176
 4    6          128          9537    0.00011446   8.33218e+07   176
 4    6          256         18513   0.000122741    1.5083e+08   182
 4    6          512         35937    0.00010908   3.29456e+08   175
 4    6         1024         70785   0.000112895   6.26997e+08   172
 4    6         2048        139425   0.000113299   1.23059e+09   170
 4    6         4096        274625   0.000142988   1.92061e+09   174
 4    6         8192        545025   0.000144116   3.78186e+09   172
 4    6        16384       1081665   0.000146871   7.36471e+09   172
 4    6        32768       2146689   0.000164704   1.30336e+10   172
 4    6        65536       4276737   0.000178676   2.39356e+10   170
 4    6       131072       8520321   0.000198064    4.3018e+10   170
 4    6       262144      16974593   0.000242467   7.00077e+10   169
 4    6       524288      33883137   0.000335327   1.01045e+11   168
 4    6      1048576      67634433   0.000548167   1.23383e+11   167
 4    6      2097152     135005697    0.00111645   1.20924e+11   166
 4    6      4194304     269748225    0.00227942   1.18341e+11   165
 4    6      8388608     538970625    0.00568994   9.47235e+10   164
 4    6     16777216    1076890625     0.0116055   9.27915e+10   162
 4    6     33554432    2152730625      0.023905   9.00537e+10   160
 4    6     67108864    4303361025     0.0414523   1.03815e+11   158
 4    6    134217728    8602523649     0.0853835   1.00752e+11   155

