 p    q   n_elements        n_dofs       time/it     dofs/s/it   CG_its
 3    5           32          1183   0.000128938   9.17497e+06    97
 3    5           64          2197   0.000108596    2.0231e+07    87
 3    5          128          4225   0.000113553   3.72072e+07    94
 3    5          256          8125   0.000123825   6.56169e+07    92
 3    5          512         15625   0.000111212   1.40498e+08    90
 3    5         1024         30625   0.000114418   2.67659e+08    93
 3    5         2048         60025   0.000115871   5.18031e+08    93
 3    5         4096        117649    0.00013955   8.43061e+08    89
 3    5         8192        232897   0.000144337   1.61356e+09    89
 3    5        16384        461041   0.000143831   3.20544e+09    89
 3    5        32768        912673    0.00016849   5.41678e+09    86
 3    5        65536       1815937   0.000169655   1.07037e+10    87
 3    5       131072       3613153   0.000177722   2.03304e+10    86
 3    5       262144       7189057   0.000189341   3.79689e+10    85
 3    5       524288      14340865   0.000228763   6.26888e+10    84
 3    5      1048576      28607425   0.000307287   9.30967e+10    83
 3    5      2097152      57066625   0.000474843    1.2018e+11    82
 3    5      4194304     113985025   0.000938892   1.21404e+11    82
 3    5      8388608     227673985    0.00188563   1.20742e+11    79
 3    5     16777216     454756609    0.00398996   1.13975e+11    79
 3    5     33554432     908921857    0.00893465    1.0173e+11    78
 3    5     67108864    1816661761     0.0177167    1.0254e+11    77
 3    5    134217728    3630961153     0.0409044    8.8767e+10    74
 3    5    268435456    7259559937     0.0681895   1.06462e+11    71

