 p    q   n_elements        n_dofs       time/it     dofs/s/it   CG_its
 2    3          128          1377   0.000147833   9.31458e+06    90
 2    3          256          2601    0.00011688   2.22537e+07    92
 2    3          512          4913   0.000103619   4.74142e+07    92
 2    3         1024          9537   0.000107068   8.90738e+07    90
 2    3         2048         18513   0.000109522   1.69035e+08    90
 2    3         4096         35937   0.000135625   2.64973e+08    88
 2    3         8192         70785   0.000131152   5.39716e+08    86
 2    3        16384        139425   0.000134338   1.03787e+09    86
 2    3        32768        274625   0.000150839   1.82066e+09    86
 2    3        65536        545025   0.000154975   3.51686e+09    85
 2    3       131072       1081665     0.0001558   6.94267e+09    85
 2    3       262144       2146689   0.000163081   1.31633e+10    85
 2    3       524288       4276737   0.000177406    2.4107e+10    84
 2    3      1048576       8520321    0.00020131   4.23243e+10    84
 2    3      2097152      16974593   0.000255846    6.6347e+10    84
 2    3      4194304      33883137   0.000337483     1.004e+11    83
 2    3      8388608      67634433   0.000542132   1.24756e+11    83
 2    3     16777216     135005697    0.00102714   1.31438e+11    83
 2    3     33554432     269748225    0.00220976   1.22071e+11    82
 2    3     67108864     538970625    0.00538485    1.0009e+11    81
 2    3    134217728    1076890625     0.0107727   9.99643e+10    80
 2    3    268435456    2152730625     0.0257572   8.35778e+10    78
 2    3    536870912    4303361025     0.0453658   9.48591e+10    76

