 p   q  n_elements       n_dofs      time/it    dofs/s/it  CG_its  time/matvec
 7   9           8         3375  3.30497e-05  1.02119e+08     277  2.04909e-05
 7   9          16         6525  3.51455e-05  1.85657e+08     305  2.25026e-05
 7   9          32        12615  4.02758e-05  3.13216e+08     301  2.65437e-05
 7   9          64        24389  4.24839e-05  5.74076e+08     309  2.83117e-05
 7   9         128        47937  4.50559e-05  1.06394e+09     298  3.06159e-05
 7   9         256        94221   8.2506e-05  1.14199e+09     295  6.20599e-05
 7   9         512       185193  0.000121601  1.52296e+09     305  9.20239e-05
 7   9        1024       367137  0.000200572  1.83045e+09     301  0.000149968
 7   9        2048       727833  0.000398444  1.82669e+09     299  0.000298918
 7   9        4096      1442897  0.000904313  1.59557e+09     303   0.00056391
 7   9        8192      2873025   0.00318374  9.02405e+08     300   0.00148823
 7   9       16384      5720625   0.00808695   7.0739e+08     297   0.00388623
 7   9       32768     11390625    0.0167701  6.79223e+08     299   0.00769379
 7   9       65536     22730625    0.0332772  6.83068e+08     295    0.0150687
 7   9      131072     45360225    0.0658354  6.88995e+08     293    0.0293427
 7   9      262144     90518849     0.129549  6.98725e+08     293    0.0572646

