 p    q   n_elements        n_dofs       time/it     dofs/s/it   CG_its
 6    8            8          2197   0.000100768   2.18026e+07   215
 6    8           16          4225   0.000106038    3.9844e+07   231
 6    8           32          8125    0.00011749   6.91547e+07   233
 6    8           64         15625   0.000127184   1.22854e+08   217
 6    8          128         30625   0.000137278   2.23087e+08   212
 6    8          256         60025   0.000145189   4.13427e+08   212
 6    8          512        117649   0.000129784   9.06498e+08   209
 6    8         1024        232897   0.000136205   1.70989e+09   209
 6    8         2048        461041   0.000139414   3.30698e+09   205
 6    8         4096        912673   0.000179436   5.08634e+09   202
 6    8         8192       1815937    0.00017132   1.05997e+10   200
 6    8        16384       3613153   0.000172624   2.09308e+10   197
 6    8        32768       7189057   0.000192661   3.73146e+10   194
 6    8        65536      14340865   0.000237052   6.04967e+10   194
 6    8       131072      28607425   0.000291357   9.81867e+10   193
 6    8       262144      57066625   0.000434147   1.31446e+11   191
 6    8       524288     113985025   0.000841948   1.35383e+11   190
 6    8      1048576     227673985    0.00158143   1.43968e+11   188
 6    8      2097152     454756609     0.0036711   1.23875e+11   184
 6    8      4194304     908921857    0.00837735   1.08498e+11   184
 6    8      8388608    1816661761     0.0179195   1.01379e+11   176
 6    8     16777216    3630961153     0.0352662   1.02959e+11   176
 6    8     33554432    7259559937     0.0647378   1.12138e+11   172
 6    8     67108864   14514396673      0.126112   1.15092e+11   169

