 p   q  n_elements       n_dofs      time/it    dofs/s/it  CG_its  time/matvec
 6   8           8         2197  2.24256e-05  9.79683e+07     255  1.26652e-05
 6   8          16         4225  2.46066e-05  1.71702e+08     251  1.41118e-05
 6   8          32         8125  2.82616e-05  2.87493e+08     257  1.73389e-05
 6   8          64        15625  3.10594e-05  5.03069e+08     269  1.93324e-05
 6   8         128        30625  3.35242e-05  9.13521e+08     266  2.08381e-05
 6   8         256        60025  5.91273e-05  1.01518e+09     260  4.18695e-05
 6   8         512       117649  8.04464e-05  1.46245e+09     259  6.00987e-05
 6   8        1024       232897  0.000131165  1.77561e+09     258  9.82168e-05
 6   8        2048       461041  0.000252373  1.82682e+09     257  0.000191301
 6   8        4096       912673  0.000465657  1.95997e+09     259  0.000329505
 6   8        8192      1815937   0.00140829  1.28946e+09     257  0.000771093
 6   8       16384      3613153   0.00463848  7.78952e+08     257   0.00212648
 6   8       32768      7189057    0.0104762  6.86224e+08     257   0.00490916
 6   8       65536     14340865    0.0214975  6.67094e+08     254   0.00980322
 6   8      131072     28607425    0.0418422  6.83698e+08     253    0.0192084
 6   8      262144     57066625    0.0828624  6.88692e+08     254    0.0378577

