 p    q   n_elements        n_dofs       time/it     dofs/s/it   CG_its
 5    7            8          1331   0.000105916   1.25666e+07   153
 5    7           16          2541   9.73049e-05   2.61138e+07   190
 5    7           32          4851   0.000108399   4.47514e+07   178
 5    7           64          9261   0.000121634   7.61381e+07   164
 5    7          128         18081   0.000130264   1.38803e+08   167
 5    7          256         35301   0.000143242   2.46443e+08   166
 5    7          512         68921   0.000119935   5.74655e+08   166
 5    7         1024        136161   0.000123642   1.10125e+09   165
 5    7         2048        269001   0.000128176   2.09868e+09   164
 5    7         4096        531441   0.000158761   3.34742e+09   159
 5    7         8192       1056321   0.000158145   6.67945e+09   159
 5    7        16384       2099601   0.000161071   1.30353e+10   155
 5    7        32768       4173281   0.000178791   2.33417e+10   153
 5    7        65536       8320641   0.000205154   4.05581e+10   155
 5    7       131072      16589601    0.00023037    7.2013e+10   154
 5    7       262144      33076161   0.000311641   1.06135e+11   153
 5    7       524288      66049281   0.000484582   1.36302e+11   153
 5    7      1048576     131892801   0.000900831   1.46412e+11   147
 5    7      2097152     263374721    0.00190825   1.38019e+11   145
 5    7      4194304     526338561     0.0047139   1.11657e+11   144
 5    7      8388608    1051856001     0.0101559   1.03571e+11   143
 5    7     16777216    2102071041     0.0197799   1.06273e+11   141
 5    7     33554432    4202501121     0.0392559   1.07054e+11   140
 5    7     67108864    8401721601     0.0758399   1.10782e+11   136

