 p    q   n_elements        n_dofs       time/it     dofs/s/it   CG_its
 4    6           16          1377   0.000103385   1.33192e+07   153
 4    6           32          2601   0.000101987   2.55032e+07   145
 4    6           64          4913   0.000111066   4.42351e+07   140
 4    6          128          9537   0.000117274   8.13222e+07   146
 4    6          256         18513    0.00012618   1.46718e+08   138
 4    6          512         35937   0.000112068   3.20672e+08   131
 4    6         1024         70785   0.000113482   6.23756e+08   131
 4    6         2048        139425   0.000117562   1.18597e+09   130
 4    6         4096        274625   0.000143356   1.91568e+09   129
 4    6         8192        545025   0.000146938   3.70922e+09   126
 4    6        16384       1081665   0.000148775   7.27047e+09   125
 4    6        32768       2146689   0.000175718   1.22166e+10   124
 4    6        65536       4276737   0.000187749   2.27791e+10   120
 4    6       131072       8520321   0.000209177   4.07325e+10   119
 4    6       262144      16974593   0.000233246   7.27755e+10   118
 4    6       524288      33883137   0.000326475   1.03785e+11   114
 4    6      1048576      67634433   0.000524983   1.28832e+11   113
 4    6      2097152     135005697    0.00105153    1.2839e+11   112
 4    6      4194304     269748225    0.00202856   1.32975e+11   110
 4    6      8388608     538970625    0.00522138   1.03224e+11   109
 4    6     16777216    1076890625     0.0112731   9.55278e+10   108
 4    6     33554432    2152730625     0.0210847   1.02099e+11   107
 4    6     67108864    4303361025     0.0449313   9.57764e+10   104
 4    6    134217728    8602523649     0.0773779   1.11175e+11   102

