 p   q  n_elements       n_dofs      time/it    dofs/s/it  CG_its  time/matvec
 1   3        1024         1377  1.72628e-05  7.97667e+07      52  8.08644e-06
 1   3        2048         2601  1.76611e-05  1.47272e+08      56  1.06682e-05
 1   3        4096         4913  2.16978e-05  2.26429e+08      54  1.40625e-05
 1   3        8192         9537  2.86967e-05  3.32338e+08      54  2.02443e-05
 1   3       16384        18513  4.49599e-05  4.11767e+08      55  3.53249e-05
 1   3       32768        35937  7.74015e-05  4.64293e+08      55  6.32045e-05
 1   3       65536        70785  0.000131472  5.38403e+08      55  0.000112415
 1   3      131072       139425    0.0002492   5.5949e+08      55  0.000228972
 1   3      262144       274625  0.000540108  5.08464e+08      55  0.000462315
 1   3      524288       545025   0.00149532  3.64486e+08      55   0.00124733
 1   3     1048576      1081665   0.00332137  3.25669e+08      55   0.00279138
 1   3     2097152      2146689   0.00681376  3.15052e+08      54   0.00567147
 1   3     4194304      4276737    0.0145424  2.94087e+08      54    0.0114328
 1   3     8388608      8520321    0.0292424  2.91369e+08      54    0.0225639
 1   3    16777216     16974593    0.0582691  2.91314e+08      53    0.0447418

