 p   q  n_elements       n_dofs      time/it    dofs/s/it  CG_its
 4   6          16         1377   2.9069e-05    4.737e+07  172
 4   6          32         2601  2.97264e-05   8.7498e+07  179
 4   6          64         4913  3.63643e-05  1.35105e+08  176
 4   6         128         9537  3.79953e-05  2.51005e+08  176
 4   6         256        18513  4.89125e-05  3.78492e+08  182
 4   6         512        35937  7.00734e-05  5.12848e+08  176
 4   6        1024        70785  0.000111441  6.35178e+08  172
 4   6        2048       139425  0.000188952  7.37885e+08  170
 4   6        4096       274625  0.000350723  7.83025e+08  174
 4   6        8192       545025  0.000706315  7.71646e+08  172
 4   6       16384      1081665   0.00165274  6.54468e+08  172
 4   6       32768      2146689   0.00465699  4.60961e+08  172
 4   6       65536      4276737    0.0100726  4.24591e+08  170
 4   6      131072      8520321    0.0204926  4.15776e+08  170
 4   6      262144     16974593    0.0404189  4.19966e+08  169

