 p   q  n_elements       n_dofs      time/it    dofs/s/it  CG_its  time/matvec
 8  10           8         4913  4.71232e-05  1.04259e+08     329  3.15316e-05
 8  10          16         9537  5.01318e-05  1.90239e+08     347  3.40704e-05
 8  10          32        18513  5.58937e-05  3.31218e+08     348  3.90293e-05
 8  10          64        35937  5.91893e-05  6.07153e+08     346  4.13114e-05
 8  10         128        70785  6.13666e-05  1.15348e+09     345  4.38637e-05
 8  10         256       139425  0.000117782  1.18375e+09     346   8.9108e-05
 8  10         512       274625  0.000173084  1.58666e+09     356  0.000131185
 8  10        1024       545025  0.000302342  1.80268e+09     352  0.000227919
 8  10        2048      1081665  0.000621474  1.74048e+09     350   0.00044837
 8  10        4096      2146689    0.0018724  1.14649e+09     357  0.000948301
 8  10        8192      4276737   0.00571546  7.48275e+08     354   0.00251407
 8  10       16384      8520321     0.012219  6.97303e+08     353   0.00552312
 8  10       32768     16974593    0.0246561  6.88455e+08     355     0.010934
 8  10       65536     33883137     0.047986  7.06104e+08     351    0.0212666
 8  10      131072     67634433     0.095739  7.06446e+08     350    0.0416824

