 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec  timeMVmerge  timeMVcompu  timeMVlinear
 3   5         32        1183  2.59657e-05  4.55602e+07    36  1.43904e-05  9.25521e-06  1.72606e-05  1.38686e-05
 3   5         64        2197   2.4253e-05  9.05869e+07    46  1.51276e-05    1.102e-05  1.90694e-05  1.46801e-05
 3   5        128        4225  2.50927e-05  1.68376e+08    58   1.5706e-05  1.15746e-05  1.95413e-05   1.5269e-05
 3   5        256        8125  3.87534e-05  2.09659e+08    72  2.95362e-05   2.1521e-05  3.68475e-05  2.81757e-05
 3   5        512       15625  5.07815e-05  3.07691e+08    85  4.12149e-05  2.89115e-05  5.33716e-05  3.91588e-05
 3   5       1024       30625  7.30027e-05  4.19505e+08   114  6.30346e-05  4.38467e-05  8.03049e-05  5.99392e-05
 3   5       2048       60025   0.00012791  4.69277e+08   148  0.000115189  7.83381e-05  0.000154166    0.0001085
 3   5       4096      117649  0.000257652   4.5662e+08   172  0.000229047  0.000149239  0.000316233  0.000224247
 3   5       8192      232897  0.000679563  3.42716e+08   230  0.000579732  0.000302456  0.000579612  0.000416357
 3   5      16384      461041   0.00182248  2.52975e+08   304   0.00159288  0.000922391   0.00116917  0.000811168
 3   5      32768      912673    0.0038227  2.38751e+08   351   0.00334726   0.00209752   0.00234219   0.00152848
 3   5      65536     1815937   0.00772785  2.34986e+08   437    0.0067579   0.00442893   0.00470575    0.0030038
 3   5     131072     3613153    0.0160106  2.25672e+08   622    0.0135618   0.00891585   0.00951233   0.00608195
 3   5     262144     7189057     0.031934  2.25123e+08   720    0.0265562    0.0174217    0.0186983    0.0124985
 3   5     524288    14340865    0.0643439  2.22878e+08   891     0.052904    0.0347186    0.0369762    0.0248241
 3   5    1048576    28607425     0.127514  2.24347e+08  1000     0.104984    0.0688194    0.0739592    0.0488701
 3   5    2097152    57066625     0.253481  2.25132e+08  1000     0.208111     0.136522     0.145494    0.0969202

