 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec  timeMVmerge  timeMVcompu  timeMVlinear
 1   2       1024        1377  6.92787e-05  1.98762e+07    22  1.45386e-05  1.41337e-05  1.55626e-05  1.40026e-05
 1   2       2048        2601  3.10861e-05  8.36709e+07    27  1.98689e-05  1.48402e-05  1.94959e-05  1.92817e-05
 1   2       4096        4913  3.93399e-05  1.24886e+08    34  2.80204e-05  2.07608e-05  2.82436e-05  2.78955e-05
 1   2       8192        9537  5.18118e-05   1.8407e+08    44  4.10182e-05  2.88988e-05  4.12458e-05  4.14941e-05
 1   2      16384       18513  8.53768e-05  2.16839e+08    56  7.19064e-05  5.15704e-05  7.46864e-05   7.5487e-05
 1   2      32768       35937  0.000149194  2.40874e+08    70  0.000131755  9.18527e-05  0.000138169  0.000139443
 1   2      65536       70785  0.000272397   2.5986e+08    89   0.00024731  0.000167508  0.000268308   0.00028312
 1   2     131072      139425  0.000646448  2.15679e+08   116  0.000585584  0.000337358    0.0004757  0.000477604
 1   2     262144      274625   0.00184276  1.49029e+08   137   0.00159372   0.00104973  0.000967335  0.000974275
 1   2     524288      545025   0.00363245  1.50043e+08   181     0.003319   0.00225665   0.00214303   0.00213622
 1   2    1048576     1081665   0.00716871  1.50887e+08   237    0.0067146   0.00462005   0.00395983   0.00501861
 1   2    2097152     2146689    0.0143757  1.49328e+08   276    0.0132964   0.00916538   0.00791961   0.00808856
 1   2    4194304     4276737    0.0297197  1.43903e+08   365     0.026394    0.0183457    0.0158631    0.0162853
 1   2    8388608     8520321    0.0590313  1.44336e+08   485    0.0522954    0.0362222     0.031414    0.0321844
 1   2   16777216    16974593     0.117809  1.44086e+08   562     0.104418    0.0721535    0.0620123    0.0640968

