 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec  timeMVmerge  timeMVcompu  timeMVlinear
 5   7          8        1331  4.40674e-05  3.02037e+07    42  3.05941e-05  2.07098e-05  4.05352e-05   3.0293e-05
 5   7         16        2541  4.31582e-05  5.88765e+07    57  3.31225e-05  2.26234e-05  4.51823e-05  3.18091e-05
 5   7         32        4851  4.88027e-05  9.94002e+07    73   3.5357e-05  2.47206e-05   4.9154e-05  3.33152e-05
 5   7         64        9261  4.76461e-05  1.94371e+08    93  3.68866e-05  2.65212e-05   5.0935e-05  3.51888e-05
 5   7        128       18081  4.88693e-05  3.69987e+08   118  3.80979e-05   2.7251e-05  5.14257e-05  3.58249e-05
 5   7        256       35301  8.82295e-05  4.00104e+08   147  7.55992e-05  5.57933e-05  0.000100945   7.1337e-05
 5   7        512       68921  0.000121537  5.67078e+08   176  0.000106968  7.96247e-05  0.000144003  0.000102488
 5   7       1024      136161  0.000214797  6.33907e+08   238  0.000193562  0.000139011   0.00026797  0.000188976
 5   7       2048      269001   0.00044857  5.99686e+08   312  0.000396898  0.000257327  0.000486806  0.000349145
 5   7       4096      531441   0.00136988  3.87948e+08   364    0.0011097   0.00060808  0.000937481  0.000669884
 5   7       8192     1056321    0.0030331  3.48265e+08   452   0.00250814   0.00163327    0.0019195   0.00128056
 5   7      16384     2099601    0.0063284  3.31774e+08   649   0.00518606   0.00353736   0.00403106   0.00253598
 5   7      32768     4173281    0.0133507  3.12588e+08   752    0.0103613    0.0071942   0.00798811   0.00520155
 5   7      65536     8320641    0.0266256  3.12505e+08   933    0.0200718    0.0139481    0.0155767    0.0107033
 5   7     131072    16589601    0.0533185  3.11142e+08  1000    0.0398156    0.0276814    0.0307925    0.0212113
 5   7     262144    33076161     0.104566  3.16319e+08  1000    0.0785643    0.0543985    0.0606538    0.0417193
 5   7     524288    66049281     0.207593  3.18168e+08  1000     0.155682     0.107586     0.119641    0.0827846

