 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec  timeMVmerge  timeMVcompu  timeMVlinear
 1   3       1024        1377  2.88142e-05  4.77889e+07    22  1.58051e-05  1.18175e-05  1.64998e-05  1.63251e-05
 1   3       2048        2601  3.48404e-05  7.46546e+07    27  2.60217e-05  1.69288e-05  2.71862e-05  2.58979e-05
 1   3       4096        4913  5.34166e-05  9.19752e+07    34  4.36759e-05  2.63774e-05  4.63439e-05  4.25151e-05
 1   3       8192        9537  8.65013e-05  1.10253e+08    44  7.62511e-05  4.47038e-05  8.12629e-05  7.61009e-05
 1   3      16384       18513  0.000159563  1.16023e+08    56  0.000141762   8.2525e-05  0.000164337   0.00014709
 1   3      32768       35937  0.000369045  9.73784e+07    70   0.00033424  0.000157946  0.000306165  0.000281758
 1   3      65536       70785   0.00125636  5.63415e+07    89   0.00119048  0.000495606   0.00057898  0.000551178
 1   3     131072      139425   0.00269564  5.17224e+07   116   0.00247965   0.00148014   0.00130531   0.00115077
 1   3     262144      274625   0.00519097  5.29043e+07   137   0.00497493    0.0031317   0.00271744   0.00231935
 1   3     524288      545025    0.0102432  5.32083e+07   181   0.00993646   0.00606628   0.00548825   0.00482717
 1   3    1048576     1081665    0.0204295  5.29464e+07   237    0.0198207    0.0120953    0.0109216   0.00998882
 1   3    2097152     2146689    0.0406655   5.2789e+07   276    0.0394568    0.0241143    0.0219228    0.0182814
 1   3    4194304     4276737    0.0821887  5.20356e+07   365    0.0788371    0.0481777    0.0431647    0.0371628
 1   3    8388608     8520321     0.163802   5.2016e+07   485     0.156991    0.0958439    0.0846168    0.0725138
 1   3   16777216    16974593     0.327181  5.18813e+07   562      0.31346     0.191135     0.172323     0.143341

