 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec  timeMVmerge  timeMVcompu  timeMVlinear
 8  10          8        4913  0.000122408  4.01361e+07    78   0.00010351  8.14138e-05  0.000141101   0.00010122
 8  10         16        9537  0.000124492   7.6607e+07   111     0.000107  8.22827e-05  0.000143802   0.00010432
 8  10         32       18513  0.000127513  1.45186e+08   143  0.000110202  8.72143e-05  0.000148431  0.000107566
 8  10         64       35937  0.000130056  2.76319e+08   171  0.000111477  8.80167e-05  0.000152157  0.000109681
 8  10        128       70785  0.000132165   5.3558e+08   205  0.000114493  9.12397e-05  0.000154299  0.000111345
 8  10        256      139425  0.000257061  5.42381e+08   290  0.000225623  0.000179346  0.000311843  0.000221522
 8  10        512      274625  0.000429745  6.39042e+08   346  0.000377633  0.000282613  0.000502089  0.000356872
 8  10       1024      545025    0.0011172  4.87847e+08   426   0.00088747  0.000563094  0.000871469  0.000624909
 8  10       2048     1081665    0.0027015  4.00394e+08   611   0.00214084   0.00148246   0.00194931   0.00124993
 8  10       4096     2146689   0.00546386  3.92889e+08   713   0.00419999   0.00299686   0.00370577   0.00224815
 8  10       8192     4276737    0.0116411  3.67383e+08   887   0.00852691   0.00618837   0.00747759   0.00462222
 8  10      16384     8520321    0.0231479  3.68081e+08  1000    0.0165622    0.0120747    0.0145131   0.00946666
 8  10      32768    16974593    0.0455666  3.72523e+08  1000    0.0321859     0.023393    0.0281002    0.0184247
 8  10      65536    33883137    0.0902929  3.75258e+08  1000    0.0630469    0.0455759    0.0547475    0.0361128
 8  10     131072    67634433     0.178454  3.79002e+08  1000     0.124593     0.089564     0.108512    0.0707455

