 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec  timeMVmerge  timeMVcompu  timeMVlinear
 4   6         16        1377  6.84191e-05   2.0126e+07    41  2.95507e-05  2.06626e-05   3.8932e-05  3.12639e-05
 4   6         32        2601  4.94754e-05  5.25716e+07    52  3.18509e-05  2.26145e-05  3.81622e-05  3.28332e-05
 4   6         64        4913  5.35648e-05  9.17207e+07    64  3.51185e-05  2.57416e-05  4.21607e-05  3.60405e-05
 4   6        128        9537  5.65332e-05  1.68697e+08    84  3.65142e-05  2.81143e-05  4.93454e-05  3.80163e-05
 4   6        256       18513  6.10931e-05  3.03029e+08   107  4.24431e-05  3.29797e-05  5.69234e-05  4.22267e-05
 4   6        512       35937  9.45866e-05  3.79938e+08   137  7.49189e-05  5.90904e-05  9.93656e-05  7.72428e-05
 4   6       1024       70785  0.000135001  5.24329e+08   173   0.00011217  8.68399e-05  0.000152312  0.000115988
 4   6       2048      139425  0.000212563  6.55923e+08   226  0.000185945  0.000140255  0.000259878  0.000185088
 4   6       4096      274625  0.000570207  4.81623e+08   266   0.00045643  0.000268297  0.000475803  0.000369167
 4   6       8192      545025   0.00168512  3.23433e+08   359   0.00136551  0.000774898  0.000976882  0.000693958
 4   6      16384     1081665   0.00354753  3.04906e+08   468   0.00291308   0.00198196   0.00202967    0.0013367
 4   6      32768     2146689   0.00724278   2.9639e+08   541    0.0059355   0.00401086   0.00408021   0.00262618
 4   6      65536     4276737    0.0152479  2.80481e+08   722    0.0118255   0.00823664   0.00842881   0.00535435
 4   6     131072     8520321    0.0307135  2.77413e+08   957    0.0234633    0.0160068    0.0165007    0.0109598
 4   6     262144    16974593    0.0595172  2.85205e+08  1000    0.0457268    0.0309338    0.0321241    0.0216696
 4   6     524288    33883137      0.12005  2.82242e+08  1000    0.0937319    0.0643604    0.0680017     0.043424
 4   6    1048576    67634433     0.234269  2.88704e+08  1000     0.180181     0.121064     0.127225    0.0863619
 4   6    2097152   135005697      0.46888  2.87933e+08  1000     0.358655     0.240289     0.254423     0.175047

