 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec  timeMVmerge  timeMVcompu  timeMVlinear
 1   3       1024        1377  6.33198e-05  2.17467e+07    22  2.22202e-05  2.58752e-05    2.331e-05  2.51434e-05
 1   3       2048        2601  4.79058e-05   5.4294e+07    27  2.84684e-05  2.11698e-05  3.08894e-05  2.89065e-05
 1   3       4096        4913   6.2182e-05    7.901e+07    33  4.23235e-05  2.97389e-05  5.14509e-05  4.37745e-05
 1   3       8192        9537  8.94758e-05  1.06588e+08    44  7.12288e-05  4.70208e-05  8.70172e-05  7.39317e-05
 1   3      16384       18513  0.000151473   1.2222e+08    56  0.000126026  8.45421e-05  0.000159266  0.000139646
 1   3      32768       35937  0.000325768  1.10315e+08    66   0.00028819  0.000151788  0.000310581  0.000262465
 1   3      65536       70785   0.00127089   5.5697e+07    87   0.00116103  0.000475594  0.000607109  0.000505658
 1   3     131072      139425   0.00252322  5.52568e+07   116   0.00238747   0.00142918    0.0012334  0.000982641
 1   3     262144      274625    0.0050101  5.48143e+07   134   0.00480028   0.00293778   0.00256595   0.00199563
 1   3     524288      545025   0.00996048  5.47187e+07   166   0.00954509   0.00585314   0.00509161   0.00405637
 1   3    1048576     1081665    0.0202127  5.35143e+07   237    0.0190929    0.0116934     0.010053   0.00815438
 1   3    2097152     2146689    0.0394735  5.43831e+07   274    0.0380065    0.0232772    0.0206929    0.0167036
 1   3    4194304     4276737    0.0792771  5.39467e+07   338    0.0758121    0.0467271    0.0456182    0.0324699
 1   3    8388608     8520321     0.164408  5.18241e+07   485      0.15937    0.0982812    0.0856896     0.065075
 1   3   16777216    16974593     0.320088   5.3031e+07   561     0.306044     0.186043     0.167437     0.129094
 1   3   33554432    33883137     0.642872  5.27059e+07   693     0.602786     0.371895     0.331749     0.253073

