 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec  timeMVmerge  timeMVcompu  timeMVlinear
 5   7          8        1331  6.92557e-05  1.92186e+07    42  4.36626e-05  3.00224e-05   5.7424e-05  4.63117e-05
 5   7         16        2541  6.79571e-05  3.73912e+07    57  4.87308e-05  3.43111e-05  6.26061e-05  4.97393e-05
 5   7         32        4851  6.90528e-05  7.02506e+07    73  5.03984e-05  3.53296e-05   6.4589e-05  5.12277e-05
 5   7         64        9261   8.0071e-05   1.1566e+08    93  6.19481e-05  4.98804e-05  8.77919e-05  6.45736e-05
 5   7        128       18081  8.17541e-05  2.21163e+08   118  6.20729e-05    4.904e-05   8.6814e-05  6.23047e-05
 5   7        256       35301  8.51726e-05  4.14464e+08   147  6.37495e-05   5.1652e-05  9.29389e-05  6.62069e-05
 5   7        512       68921  0.000139874  4.92737e+08   177   0.00011684  9.11009e-05  0.000161485  0.000123804
 5   7       1024      136161  0.000216951  6.27611e+08   239  0.000185709  0.000147514  0.000265725  0.000190849
 5   7       2048      269001  0.000456095  5.89792e+08   312  0.000380821  0.000240678  0.000452986  0.000318701
 5   7       4096      531441   0.00139109  3.82032e+08   364   0.00110311   0.00059698   0.00084929  0.000589919
 5   7       8192     1056321   0.00301312  3.50574e+08   450   0.00240176   0.00162271   0.00189429   0.00113793
 5   7      16384     2099601   0.00637818  3.29185e+08   649   0.00499235   0.00341235   0.00377373   0.00221105
 5   7      32768     4173281    0.0131527  3.17294e+08   752    0.0100395   0.00692068   0.00762352   0.00461705
 5   7      65536     8320641    0.0264588  3.14475e+08   933    0.0195685    0.0137623    0.0151968    0.0096063
 5   7     131072    16589601    0.0513746  3.22915e+08  1000    0.0380319    0.0264951    0.0311335    0.0194591
 5   7     262144    33076161     0.104094  3.17752e+08  1000    0.0796403    0.0558914    0.0626101    0.0375913
 5   7     524288    66049281     0.210102  3.14368e+08  1000     0.150945     0.107841     0.120944    0.0753306
 5   7    1048576   131892801     0.410956  3.20941e+08  1000     0.298025     0.213291     0.236085     0.147523

