 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec  timeMVmerge  timeMVcompu  timeMVlinear
 4   6         16        1377  3.35152e-05  4.10858e+07    41  1.97173e-05  1.31117e-05  2.50297e-05  1.93166e-05
 4   6         32        2601  3.11547e-05  8.34867e+07    52  2.14149e-05  1.48598e-05  2.64414e-05  2.07722e-05
 4   6         64        4913  3.28147e-05  1.49719e+08    64  2.28811e-05  1.64587e-05  2.73965e-05    2.229e-05
 4   6        128        9537  3.36444e-05  2.83465e+08    84  2.43999e-05  1.71719e-05  2.92391e-05  2.32112e-05
 4   6        256       18513  5.71179e-05  3.24119e+08   107  4.64345e-05  3.40854e-05  5.55881e-05  4.48084e-05
 4   6        512       35937  7.97394e-05  4.50681e+08   137  6.75923e-05  4.95002e-05  8.22835e-05  6.49788e-05
 4   6       1024       70785  0.000122162  5.79434e+08   173  0.000105193  7.61888e-05  0.000128327  0.000100783
 4   6       2048      139425  0.000239102   5.8312e+08   226  0.000215621   0.00014961  0.000264907  0.000210884
 4   6       4096      274625  0.000574417  4.78094e+08   266  0.000497128  0.000288864   0.00050417  0.000402313
 4   6       8192      545025   0.00170327  3.19987e+08   359   0.00142001  0.000802686  0.000979455  0.000763528
 4   6      16384     1081665   0.00359644   3.0076e+08   468   0.00305429   0.00197237    0.0020757   0.00148393
 4   6      32768     2146689   0.00731902  2.93303e+08   541    0.0061504   0.00413489   0.00417209   0.00284378
 4   6      65536     4276737    0.0154129  2.77478e+08   731    0.0122962   0.00838439   0.00836639   0.00595021
 4   6     131072     8520321    0.0307667  2.76933e+08   957     0.024126    0.0162934     0.016705    0.0120104
 4   6     262144    16974593    0.0617235   2.7501e+08  1000    0.0477722     0.032204    0.0330314    0.0238185
 4   6     524288    33883137     0.121417  2.79065e+08  1000    0.0944182     0.063609    0.0650259    0.0471134
 4   6    1048576    67634433     0.240877  2.80784e+08  1000      0.18738      0.12593     0.127245    0.0924212

