 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec  timeMVmerge  timeMVcompu  timeMVlinear
 8  10          8        4913   0.00017201  2.85623e+07    78  0.000144016  0.000108488  0.000189172  0.000149965
 8  10         16        9537  0.000177494  5.37314e+07   111  0.000149976   0.00011317  0.000195773  0.000155892
 8  10         32       18513  0.000179485  1.03145e+08   143   0.00015168  0.000115847  0.000200997  0.000157487
 8  10         64       35937  0.000219895  1.63428e+08   171  0.000184055  0.000158684  0.000274137  0.000192399
 8  10        128       70785  0.000222778  3.17737e+08   205  0.000185019  0.000158959  0.000273634  0.000194809
 8  10        256      139425  0.000236181   5.9033e+08   290  0.000197647  0.000170267  0.000288665  0.000202121
 8  10        512      274625  0.000494132  5.55773e+08   346  0.000414889   0.00033221  0.000574176  0.000397544
 8  10       1024      545025   0.00127968  4.25909e+08   425  0.000971629  0.000620983  0.000940972  0.000599755
 8  10       2048     1081665   0.00268008  4.03594e+08   611   0.00207131   0.00165708   0.00172847   0.00104932
 8  10       4096     2146689   0.00571145  3.75857e+08   713    0.0041168   0.00312923   0.00353486    0.0021183
 8  10       8192     4276737    0.0115935  3.68891e+08   886   0.00817976   0.00600475   0.00698167   0.00421071
 8  10      16384     8520321     0.023493  3.62675e+08  1000    0.0166001    0.0125581    0.0138426   0.00873295
 8  10      32768    16974593    0.0447268  3.79517e+08  1000    0.0312999    0.0225976    0.0264909    0.0169512
 8  10      65536    33883137    0.0928978  3.64735e+08  1000     0.063013    0.0465673    0.0530148    0.0338976
 8  10     131072    67634433     0.187266  3.61167e+08  1000      0.12681    0.0937786     0.108497     0.066783
 8  10     262144   135005697     0.349947  3.85789e+08  1000     0.242308     0.181745     0.209384     0.131857

