 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec  timeMVmerge  timeMVcompu  timeMVlinear
 1   2       1024        1377  0.000164353  8.37828e+06    22  3.23489e-05  3.29579e-05  3.33088e-05   3.0638e-05
 1   2       2048        2601  6.39407e-05  4.06783e+07    27  3.25956e-05   2.9005e-05  3.31053e-05  3.30231e-05
 1   2       4096        4913   4.6673e-05  1.05264e+08    33  2.55496e-05  2.17758e-05  2.65907e-05  2.60669e-05
 1   2       8192        9537  5.53888e-05  1.72183e+08    44  3.73443e-05  2.93204e-05  3.91957e-05  3.80166e-05
 1   2      16384       18513  7.98205e-05  2.31933e+08    56  6.10319e-05   4.6133e-05  6.50613e-05  6.37755e-05
 1   2      32768       35937  0.000129549    2.774e+08    66  0.000104629   7.7527e-05   0.00012416  0.000115417
 1   2      65536       70785   0.00022499  3.14613e+08    87  0.000193327  0.000139868  0.000230225  0.000217394
 1   2     131072      139425  0.000633542  2.20072e+08   116  0.000532587  0.000277954  0.000437177  0.000410444
 1   2     262144      274625   0.00229747  1.19533e+08   134   0.00155759  0.000958572  0.000885683  0.000849613
 1   2     524288      545025   0.00361997  1.50561e+08   166   0.00321822   0.00203234   0.00175899   0.00185862
 1   2    1048576     1081665   0.00708857  1.52593e+08   237   0.00674449    0.0041984   0.00358867   0.00371099
 1   2    2097152     2146689    0.0143347  1.49755e+08   274    0.0128274   0.00839372   0.00731216   0.00722628
 1   2    4194304     4276737    0.0288326   1.4833e+08   338    0.0254757    0.0167439    0.0153109     0.014479
 1   2    8388608     8520321    0.0579676  1.46984e+08   485     0.050735    0.0334278    0.0287732    0.0288133
 1   2   16777216    16974593      0.11441  1.48366e+08   561     0.100414    0.0657602    0.0601361    0.0569962
 1   2   33554432    33883137     0.227903  1.48673e+08   693     0.200333     0.130343      0.12045     0.113936

