 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec  timeMVmerge  timeMVcompu  timeMVlinear
 2   4        128        1377  2.03256e-05  6.77471e+07    33  9.37846e-06   8.1166e-06  1.08511e-05  9.30357e-06
 2   4        256        2601  2.53274e-05  1.02695e+08    42  1.68104e-05   1.2521e-05  1.89719e-05  1.64427e-05
 2   4        512        4913  3.15324e-05  1.55808e+08    50  2.26161e-05  1.57358e-05  2.52281e-05  2.22696e-05
 2   4       1024        9537  4.12647e-05  2.31118e+08    67  3.26997e-05  2.11564e-05  3.86032e-05  3.14592e-05
 2   4       2048       18513  6.76835e-05  2.73523e+08    86  5.83474e-05   3.8404e-05  6.69099e-05  5.66332e-05
 2   4       4096       35937  0.000112323  3.19944e+08   101  9.95585e-05  6.33199e-05  0.000119055   9.9334e-05
 2   4       8192       70785  0.000202696  3.49217e+08   136  0.000183434  0.000113963   0.00022499  0.000182065
 2   4      16384      139425  0.000600292  2.32262e+08   177  0.000533628  0.000249837  0.000486716  0.000385364
 2   4      32768      274625   0.00169247  1.62263e+08   207   0.00152995  0.000831951  0.000931792  0.000749281
 2   4      65536      545025   0.00345704  1.57657e+08   278   0.00316446   0.00196873   0.00196969   0.00145904
 2   4     131072     1081665   0.00695755  1.55466e+08   362    0.0064088   0.00407953   0.00396135   0.00287517
 2   4     262144     2146689    0.0139045  1.54388e+08   420    0.0129273   0.00818252   0.00784281   0.00582413
 2   4     524288     4276737     0.028545  1.49825e+08   566    0.0254538    0.0163545     0.016538    0.0113503
 2   4    1048576     8520321    0.0570563  1.49332e+08   737      0.05037     0.032238    0.0313679    0.0228807
 2   4    2097152    16974593     0.113523  1.49525e+08   854     0.100104    0.0639905    0.0619939    0.0450968
 2   4    4194304    33883137     0.226842  1.49369e+08  1000     0.199436     0.127209     0.121408    0.0896921

