 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec  timeMVmerge  timeMVcompu  timeMVlinear
 6   8          8        2197   9.2282e-05  2.38075e+07    52  6.91952e-05  4.85555e-05  9.18731e-05  7.24262e-05
 6   8         16        4225  9.58089e-05  4.40982e+07    72  7.59361e-05  5.52656e-05  0.000100727  7.82577e-05
 6   8         32        8125  0.000100531   8.0821e+07    93  7.78426e-05  5.69504e-05  0.000101006  7.96559e-05
 6   8         64       15625  0.000101313  1.54225e+08   113    7.914e-05  5.82204e-05  0.000102834  8.11751e-05
 6   8        128       30625  0.000117786  2.60005e+08   149  9.19843e-05  7.35402e-05   0.00013132   9.2806e-05
 6   8        256       60025  0.000121973  4.92116e+08   191  9.93256e-05  8.20815e-05  0.000146981  0.000103825
 6   8        512      117649  0.000213364  5.51401e+08   229  0.000184845  0.000142688    0.0002611  0.000185077
 6   8       1024      232897  0.000342196  6.80595e+08   297  0.000295372  0.000228759  0.000422841   0.00028444
 6   8       2048      461041   0.00105697  4.36191e+08   406  0.000812154  0.000466983  0.000732536  0.000485011
 6   8       4096      912673   0.00248121  3.67833e+08   474   0.00186534   0.00121264   0.00154821   0.00097602
 6   8       8192     1815937   0.00507995  3.57471e+08   589   0.00397257   0.00271032     0.003103   0.00189519
 6   8      16384     3613153    0.0106113  3.40502e+08   843   0.00799428   0.00555888   0.00632077   0.00368921
 6   8      32768     7189057    0.0212491  3.38323e+08   979    0.0155721     0.011241    0.0128255   0.00769442
 6   8      65536    14340865     0.041469  3.45821e+08  1000    0.0305825    0.0214779    0.0247955    0.0153481
 6   8     131072    28607425    0.0816786  3.50244e+08  1000    0.0583924    0.0414209    0.0495221    0.0301576
 6   8     262144    57066625     0.168124  3.39433e+08  1000     0.117703    0.0857294     0.100563    0.0600433
 6   8     524288   113985025     0.327294  3.48265e+08  1000     0.231711     0.169968     0.198663     0.119738

