 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec  timeMVmerge  timeMVcompu  timeMVlinear
 3   5         32        1183  4.70157e-05  2.51618e+07    36  2.28351e-05  1.46627e-05    2.464e-05  2.27617e-05
 3   5         64        2197  4.14202e-05  5.30418e+07    46  2.30672e-05  1.80818e-05  2.83903e-05  2.40523e-05
 3   5        128        4225  4.31995e-05   9.7802e+07    58  2.38754e-05  1.85246e-05  3.12714e-05  2.45412e-05
 3   5        256        8125  4.70649e-05  1.72634e+08    72   2.7632e-05  2.20445e-05  3.46515e-05  2.75262e-05
 3   5        512       15625  6.93301e-05  2.25371e+08    86  4.98802e-05  4.04211e-05  6.38954e-05  5.05963e-05
 3   5       1024       30625  8.97604e-05  3.41186e+08   114  6.85235e-05  5.37571e-05  8.81406e-05  7.08039e-05
 3   5       2048       60025  0.000120965  4.96217e+08   148  0.000102143  7.58937e-05  0.000136283  0.000106759
 3   5       4096      117649  0.000219382  5.36275e+08   172  0.000197461  0.000142611  0.000254491  0.000197086
 3   5       8192      232897  0.000676483  3.44276e+08   215  0.000529648  0.000282179  0.000503597  0.000392119
 3   5      16384      461041   0.00177668  2.59496e+08   304   0.00149988  0.000853119    0.0009464  0.000730187
 3   5      32768      912673   0.00376418  2.42463e+08   351   0.00319846   0.00201051   0.00197924   0.00141585
 3   5      65536     1815937   0.00748688  2.42549e+08   433   0.00647673   0.00452699   0.00410238   0.00278514
 3   5     131072     3613153    0.0155037  2.33051e+08   622    0.0129006   0.00857427   0.00852194   0.00565281
 3   5     262144     7189057    0.0319653  2.24902e+08   720    0.0267481    0.0181603    0.0172243    0.0116311
 3   5     524288    14340865    0.0619983  2.31311e+08   890     0.050407    0.0333962    0.0333295    0.0236685
 3   5    1048576    28607425      0.12462  2.29558e+08  1000     0.101998     0.069493    0.0685222    0.0458596
 3   5    2097152    57066625     0.253182  2.25398e+08  1000     0.211127     0.138306     0.139827    0.0918798
 3   5    4194304   113985025     0.487115     2.34e+08  1000     0.396174     0.260567     0.261618      0.18285

