 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec  timeMVmerge  timeMVcompu  timeMVlinear
 2   4        128        1377  4.94748e-05  2.78324e+07    33  1.46379e-05  1.38698e-05  1.67687e-05  1.59575e-05
 2   4        256        2601  3.71162e-05  7.00771e+07    42  1.66066e-05  1.37319e-05  1.87413e-05  1.74251e-05
 2   4        512        4913  4.92097e-05   9.9838e+07    51  2.91787e-05  2.28517e-05  3.29647e-05  3.03418e-05
 2   4       1024        9537  5.63455e-05  1.69259e+08    67  3.92199e-05  3.03116e-05  4.53145e-05  3.97897e-05
 2   4       2048       18513  7.36719e-05   2.5129e+08    86  5.53108e-05  4.12541e-05  6.65662e-05  5.65993e-05
 2   4       4096       35937   0.00011198  3.20924e+08   101  8.99952e-05  6.29201e-05  0.000119953   9.9635e-05
 2   4       8192       70785  0.000192039  3.68597e+08   136   0.00017378  0.000117871  0.000221407  0.000180244
 2   4      16384      139425  0.000593868  2.34775e+08   177    0.0004936  0.000229901   0.00044935  0.000334081
 2   4      32768      274625   0.00165236  1.66201e+08   205   0.00147423  0.000808953  0.000889092  0.000683456
 2   4      65536      545025   0.00341239  1.59719e+08   278   0.00306063    0.0018724   0.00174142   0.00132151
 2   4     131072     1081665   0.00678955  1.59313e+08   362   0.00617802    0.0039384   0.00351226   0.00264159
 2   4     262144     2146689    0.0135794  1.58084e+08   418    0.0122964   0.00793087    0.0074369   0.00652643
 2   4     524288     4276737    0.0278204  1.53726e+08   566    0.0245102    0.0157702    0.0146874    0.0104958
 2   4    1048576     8520321    0.0558775  1.52482e+08   737    0.0488553    0.0312885     0.028619    0.0210019
 2   4    2097152    16974593     0.115663  1.46759e+08   853    0.0973735    0.0636971    0.0598136    0.0422294
 2   4    4194304    33883137     0.228439  1.48325e+08  1000     0.205265     0.133747     0.124641    0.0836403
 2   4    8388608    67634433     0.438766  1.54147e+08  1000     0.381451     0.242397      0.23587     0.165639

