 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec  timeMVmerge  timeMVcompu  timeMVlinear
 7   9          8        3375  0.000131479  2.56695e+07    68  0.000102734   7.5509e-05  0.000144534  0.000106883
 7   9         16        6525  0.000132396  4.92839e+07    90  0.000107255  7.93406e-05  0.000150336  0.000112179
 7   9         32       12615    0.0001367  9.22825e+07   116  0.000111258  8.22701e-05  0.000155419  0.000114088
 7   9         64       24389  0.000159443  1.52964e+08   142  0.000133644  0.000111461   0.00019796  0.000137419
 7   9        128       47937  0.000160166  2.99297e+08   187  0.000133058  0.000111236  0.000196696  0.000136478
 7   9        256       94221  0.000174091  5.41218e+08   238  0.000144555  0.000122734  0.000214248  0.000146737
 7   9        512      185193  0.000324555  5.70605e+08   287  0.000289406   0.00024031  0.000421842  0.000290747
 7   9       1024      367137  0.000678055  5.41456e+08   370  0.000515155  0.000363276   0.00064228  0.000428642
 7   9       2048      727833   0.00178149  4.08554e+08   506   0.00139937  0.000898846   0.00118721  0.000730957
 7   9       4096     1442897   0.00374842  3.84934e+08   590   0.00296403   0.00208555   0.00245599   0.00144589
 7   9       8192     2873025   0.00790216  3.63575e+08   733   0.00574619   0.00413443   0.00479268   0.00280478
 7   9      16384     5720625    0.0161825  3.53507e+08  1000    0.0113182   0.00828112   0.00959294    0.0057611
 7   9      32768    11390625    0.0310897  3.66379e+08  1000    0.0219044    0.0159623    0.0186222    0.0115821
 7   9      65536    22730625    0.0613479   3.7052e+08  1000    0.0430742    0.0314217    0.0368846    0.0230804
 7   9     131072    45360225     0.123117  3.68431e+08  1000    0.0887746    0.0652803     0.077113    0.0461614
 7   9     262144    90518849     0.260262  3.47799e+08  1000     0.171395     0.130177     0.152825    0.0929918
 7   9     524288   180836097     0.492434  3.67229e+08  1000     0.339692     0.268068     0.300198     0.180138

