 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec  timeMVmerge  timeMVcompu  timeMVlinear
 6   8          8        2197  6.31597e-05  3.47849e+07    52  4.80998e-05  3.35646e-05  6.78224e-05  4.71622e-05
 6   8         16        4225  6.39579e-05   6.6059e+07    72  5.22377e-05  3.73162e-05  7.24737e-05  4.98089e-05
 6   8         32        8125  6.77418e-05  1.19941e+08    93  5.46712e-05  4.01511e-05  7.50102e-05  5.30912e-05
 6   8         64       15625  6.86345e-05  2.27655e+08   113  5.60217e-05  4.16233e-05  7.62397e-05  5.37275e-05
 6   8        128       30625  7.04143e-05  4.34926e+08   149  5.79628e-05  4.28913e-05  7.89757e-05  5.53664e-05
 6   8        256       60025  0.000126641  4.73977e+08   191  0.000111596  8.33779e-05  0.000152301  0.000108056
 6   8        512      117649  0.000183238  6.42056e+08   230  0.000162599  0.000121086   0.00022302  0.000157477
 6   8       1024      232897  0.000342516  6.79959e+08   309  0.000307908  0.000220896  0.000419296  0.000294083
 6   8       2048      461041    0.0010281  4.48438e+08   406  0.000840554  0.000487224  0.000844234  0.000596999
 6   8       4096      912673   0.00237713  3.83939e+08   474   0.00191036   0.00121805   0.00157316   0.00104289
 6   8       8192     1815937   0.00498496  3.64283e+08   589   0.00399871   0.00270152   0.00328188   0.00201366
 6   8      16384     3613153     0.010614  3.40415e+08   843   0.00809319   0.00567866   0.00663142   0.00413295
 6   8      32768     7189057    0.0210334  3.41792e+08   979    0.0157374    0.0109509    0.0131499   0.00849238
 6   8      65536    14340865    0.0425103   3.3735e+08  1000    0.0308747     0.021605    0.0282233    0.0169338
 6   8     131072    28607425    0.0839137  3.40915e+08  1000    0.0609805    0.0426069    0.0501757    0.0330528
 6   8     262144    57066625     0.165465  3.44886e+08  1000     0.120204    0.0836773    0.0986274    0.0651201

