 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec
 7   8          8        3375  5.32072e-05  6.34313e+07   100  3.45074e-05
 7   8         16        6525  5.53988e-05  1.17782e+08   100  3.56008e-05
 7   8         32       12615  6.11717e-05  2.06223e+08   100  3.83861e-05
 7   8         64       24389  6.20272e-05  3.93198e+08   100  4.07113e-05
 7   8        128       47937  6.30896e-05  7.59824e+08   100  4.15901e-05
 7   8        256       94221   0.00011215  8.40135e+08   100  8.10547e-05
 7   8        512      185193  0.000167024  1.10878e+09   100  0.000118853
 7   8       1024      367137  0.000273742  1.34118e+09   100  0.000198498
 7   8       2048      727833  0.000767251  9.48624e+08   100  0.000461568
 7   8       4096     1442897   0.00217366   6.6381e+08   100   0.00132392
 7   8       8192     2873025   0.00552472  5.20031e+08   100   0.00303637
 7   8      16384     5720625    0.0132522  4.31673e+08   100   0.00624269
 7   8      32768    11390625    0.0268894   4.2361e+08   100    0.0121135
 7   8      65536    22730625     0.053928  4.21499e+08   100    0.0235559
 7   8     131072    45360225     0.105975  4.28026e+08   100    0.0461541
 7   8     262144    90518849     0.208288  4.34584e+08   100    0.0899715


