 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec
 3   4         32        1183  1.69397e-05   6.9836e+07    93  7.01382e-06
 3   4         64        2197  1.85514e-05  1.18428e+08   100  8.31178e-06
 3   4        128        4225  2.04074e-05  2.07032e+08   100  8.69262e-06
 3   4        256        8125   2.7328e-05  2.97314e+08   100   1.5852e-05
 3   4        512       15625  3.34107e-05  4.67665e+08   100  2.01416e-05
 3   4       1024       30625  4.19951e-05  7.29253e+08   100  2.74671e-05
 3   4       2048       60025  6.65181e-05  9.02387e+08   100  4.89043e-05
 3   4       4096      117649  0.000113635  1.03532e+09   100  8.69781e-05
 3   4       8192      232897  0.000191504  1.21615e+09   100  0.000147457
 3   4      16384      461041  0.000495693  9.30094e+08   100  0.000334676
 3   4      32768      912673   0.00160664  5.68062e+08   100   0.00109383
 3   4      65536     1815937   0.00377517  4.81022e+08   100   0.00262983
 3   4     131072     3613153   0.00902166  4.00497e+08   100   0.00545126
 3   4     262144     7189057    0.0203396  3.53451e+08   100    0.0106912
 3   4     524288    14340865     0.039776   3.6054e+08   100    0.0210921
 3   4    1048576    28607425    0.0793835   3.6037e+08   100    0.0413856
 3   4    2097152    57066625     0.156763  3.64031e+08   100    0.0814054


