 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec
 6   7          8        2197  3.68703e-05  5.95873e+07   100  2.18891e-05
 6   7         16        4225  3.93525e-05  1.07363e+08   100  2.33974e-05
 6   7         32        8125  4.31062e-05  1.88488e+08   100    2.707e-05
 6   7         64       15625  4.48875e-05  3.48092e+08   100  2.85719e-05
 6   7        128       30625  4.59957e-05  6.65823e+08   100  2.90522e-05
 6   7        256       60025  7.97134e-05   7.5301e+08   100  5.73987e-05
 6   7        512      117649  0.000110564  1.06408e+09   100   8.1017e-05
 6   7       1024      232897  0.000182282  1.27767e+09   100  0.000136654
 6   7       2048      461041  0.000378952  1.21662e+09   100  0.000266187
 6   7       4096      912673   0.00116785    7.815e+08   100  0.000669584
 6   7       8192     1815937   0.00299015  6.07307e+08   100   0.00186519
 6   7      16384     3613153   0.00763842  4.73024e+08   100   0.00405351
 6   7      32768     7189057    0.0178236  4.03345e+08   100   0.00804238
 6   7      65536    14340865    0.0342527  4.18679e+08   100    0.0156859
 6   7     131072    28607425    0.0677934  4.21979e+08   100       0.0307
 6   7     262144    57066625     0.134194  4.25254e+08   100    0.0596764


