 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec
 3   4         32        1183  1.50312e-05  7.87028e+07    93  7.98592e-06
 3   4         64        2197   1.8179e-05  1.20854e+08   100  1.12279e-05
 3   4        128        4225  1.74958e-05  2.41487e+08   100  1.04868e-05
 3   4        256        8125    2.287e-05   3.5527e+08   100  1.49855e-05
 3   4        512       15625  2.62662e-05  5.94871e+08   100  1.87859e-05
 3   4       1024       30625  3.51362e-05  8.71609e+08   100  2.63675e-05
 3   4       2048       60025   4.1751e-05  1.43769e+09   100  3.22596e-05
 3   4       4096      117649  6.16993e-05  1.90681e+09   100  4.91227e-05
 3   4       8192      232897  0.000101847  2.28673e+09   100  7.85918e-05
 3   4      16384      461041  0.000215678  2.13763e+09   100  0.000185691
 3   4      32768      912673   0.00063336    1.441e+09   100  0.000427881
 3   4      65536     1815937   0.00165951  1.09426e+09   100   0.00111531
 3   4     131072     3613153   0.00408964  8.83489e+08   100   0.00259043
 3   4     262144     7189057   0.00997899  7.20419e+08   100   0.00563334
 3   4     524288    14340865    0.0210343  6.81784e+08   100    0.0112395
 3   4    1048576    28607425    0.0445334  6.42381e+08   100    0.0223391
 3   4    2097152    57066625    0.0886564  6.43683e+08   100    0.0438284
 3   4    4194304   113985025     0.324812  3.50927e+08   100    0.0951483

