 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec
 6   7          8        2197  2.75621e-05  7.97109e+07   100  1.79748e-05
 6   7         16        4225  3.03638e-05  1.39146e+08   100  2.11356e-05
 6   7         32        8125  3.15977e-05  2.57139e+08   100  2.17131e-05
 6   7         64       15625   3.4588e-05  4.51747e+08   100   2.5039e-05
 6   7        128       30625  3.40951e-05  8.98222e+08   100  2.33164e-05
 6   7        256       60025  3.55019e-05  1.69075e+09   100  2.49126e-05
 6   7        512      117649  5.90322e-05  1.99296e+09   100  4.39472e-05
 6   7       1024      232897  7.77136e-05  2.99686e+09   100  5.53586e-05
 6   7       2048      461041  0.000157323  2.93053e+09   100  0.000113147
 6   7       4096      912673  0.000362177  2.51996e+09   100  0.000238329
 6   7       8192     1815937    0.0011617  1.56318e+09   100   0.00071377
 6   7      16384     3613153   0.00310232  1.16466e+09   100   0.00177752
 6   7      32768     7189057   0.00801998  8.96394e+08   100    0.0039559
 6   7      65536    14340865    0.0176276  8.13548e+08   100   0.00805178
 6   7     131072    28607425    0.0379042  7.54729e+08   100    0.0160106
 6   7     262144    57066625     0.075137  7.59501e+08   100    0.0313996
 6   7     524288   113985025     0.149431  7.62796e+08   100    0.0619011

