 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec
 5   6          8        1331  1.89348e-05  7.02938e+07    98  1.12371e-05
 5   6         16        2541  2.28527e-05   1.1119e+08   100  1.50191e-05
 5   6         32        4851  2.44402e-05  1.98485e+08   100  1.59065e-05
 5   6         64        9261    2.655e-05  3.48814e+08   100  1.89292e-05
 5   6        128       18081  2.63943e-05  6.85034e+08   100  1.70067e-05
 5   6        256       35301  2.98162e-05  1.18395e+09   100   1.8762e-05
 5   6        512       68921  4.40011e-05  1.56635e+09   100  3.26164e-05
 5   6       1024      136161  6.59028e-05  2.06609e+09   100  4.95741e-05
 5   6       2048      269001  0.000116743  2.30422e+09   100  8.99141e-05
 5   6       4096      531441  0.000176717   3.0073e+09   100  0.000125193
 5   6       8192     1056321  0.000542622   1.9467e+09   100   0.00038835
 5   6      16384     2099601   0.00159306  1.31796e+09   100  0.000999343
 5   6      32768     4173281    0.0042447  9.83174e+08   100   0.00236885
 5   6      65536     8320641    0.0103341   8.0516e+08   100   0.00498507
 5   6     131072    16589601    0.0219234  7.56709e+08   100    0.0100474
 5   6     262144    33076161     0.045651  7.24545e+08   100    0.0198118
 5   6     524288    66049281    0.0908691  7.26861e+08   100    0.0387869
 5   6    1048576   131892801     0.311896  4.22874e+08   100    0.0766525

