 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec
 2   3        128        1377  1.71334e-05  8.03695e+07    81  6.21708e-06
 2   3        256        2601  2.01961e-05  1.28787e+08   100  9.97066e-06
 2   3        512        4913  2.38365e-05  2.06112e+08   100  1.28803e-05
 2   3       1024        9537  2.67663e-05  3.56307e+08   100  1.55912e-05
 2   3       2048       18513  3.54272e-05  5.22565e+08   100  2.27456e-05
 2   3       4096       35937  5.25043e-05  6.84458e+08   100   3.7726e-05
 2   3       8192       70785  8.22761e-05  8.60335e+08   100  6.21554e-05
 2   3      16384      139425  0.000144944  9.61922e+08   100  0.000113907
 2   3      32768      274625  0.000299487  9.16986e+08   100  0.000228074
 2   3      65536      545025   0.00110511  4.93185e+08   100  0.000781855
 2   3     131072     1081665   0.00259923  4.16149e+08   100   0.00196745
 2   3     262144     2146689   0.00568003  3.77936e+08   100   0.00414365
 2   3     524288     4276737    0.0130099   3.2873e+08   100   0.00828988
 2   3    1048576     8520321    0.0276111  3.08583e+08   100    0.0163872
 2   3    2097152    16974593    0.0544059  3.11999e+08   100    0.0322696
 2   3    4194304    33883137     0.108294  3.12881e+08   100    0.0635305


