 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec
 2   3        128        1377  1.67206e-05  8.23537e+07    81  8.31418e-06
 2   3        256        2601  1.85172e-05  1.40464e+08   100  9.87128e-06
 2   3        512        4913  2.28162e-05   2.1533e+08   100  1.49495e-05
 2   3       1024        9537  2.42644e-05  3.93045e+08   100   1.5772e-05
 2   3       2048       18513  2.75152e-05  6.72828e+08   100  1.98495e-05
 2   3       4096       35937  3.24339e-05  1.10801e+09   100  2.40096e-05
 2   3       8192       70785  4.44427e-05  1.59272e+09   100   3.4797e-05
 2   3      16384      139425  6.56154e-05  2.12488e+09   100  5.07062e-05
 2   3      32768      274625  0.000134484  2.04207e+09   100  0.000102502
 2   3      65536      545025  0.000333097  1.63623e+09   100  0.000254674
 2   3     131072     1081665   0.00106846  1.01236e+09   100  0.000783787
 2   3     262144     2146689   0.00257012  8.35249e+08   100   0.00189671
 2   3     524288     4276737   0.00596345  7.17159e+08   100   0.00416155
 2   3    1048576     8520321    0.0139181  6.12177e+08   100   0.00856572
 2   3    2097152    16974593    0.0286136  5.93235e+08   100    0.0170995
 2   3    4194304    33883137    0.0588036  5.76208e+08   100    0.0338452
 2   3    8388608    67634433      0.11704  5.77876e+08   100    0.0669674

