 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec
 8   9          8        4913  7.79464e-05  6.30305e+07   100  5.19864e-05
 8   9         16        9537  8.26085e-05  1.15448e+08   100  5.59947e-05
 8   9         32       18513  8.48705e-05  2.18132e+08   100  5.83459e-05
 8   9         64       35937  8.85396e-05  4.05886e+08   100  6.26613e-05
 8   9        128       70785  8.91652e-05  7.93864e+08   100  6.34876e-05
 8   9        256      139425  0.000167131  8.34226e+08   100  0.000129359
 8   9        512      274625  0.000253368   1.0839e+09   100  0.000190751
 8   9       1024      545025  0.000484696  1.12447e+09   100  0.000323853
 8   9       2048     1081665    0.0015587  6.93953e+08   100  0.000923467
 8   9       4096     2146689   0.00367432  5.84241e+08   100    0.0021863
 8   9       8192     4276737   0.00914824  4.67493e+08   100   0.00456769
 8   9      16384     8520321    0.0203634  4.18414e+08   100   0.00909425
 8   9      32768    16974593    0.0397161  4.27398e+08   100     0.017618
 8   9      65536    33883137    0.0786362  4.30885e+08   100    0.0342417
 8   9     131072    67634433     0.154951  4.36488e+08   100    0.0668847


