 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec
 1   2       1024        1377  2.51586e-05  5.47328e+07    42  1.67361e-05
 1   2       2048        2601  2.58597e-05  1.00581e+08    55  1.79505e-05
 1   2       4096        4913  3.03858e-05  1.61687e+08    66  2.11817e-05
 1   2       8192        9537  3.65826e-05  2.60697e+08    86  2.85651e-05
 1   2      16384       18513  4.73708e-05  3.90811e+08   100  3.82743e-05
 1   2      32768       35937  5.99463e-05  5.99487e+08   100  5.44707e-05
 1   2      65536       70785  0.000108185  6.54298e+08   100  9.44622e-05
 1   2     131072      139425  0.000227688   6.1235e+08   100  0.000190476
 1   2     262144      274625  0.000718536  3.82201e+08   100  0.000605173
 1   2     524288      545025   0.00113825  4.78827e+08   100  0.000954901
 1   2    1048576     1081665   0.00255481  4.23384e+08   100   0.00219066
 1   2    2097152     2146689    0.0054297   3.9536e+08   100   0.00460236
 1   2    4194304     4276737    0.0117792  3.63077e+08   100   0.00951335
 1   2    8388608     8520321    0.0247049  3.44884e+08   100     0.019054
 1   2   16777216    16974593     0.050493  3.36177e+08   100    0.0379106

