 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec
 4   5         16        1377  1.94197e-05  7.09072e+07   100  9.14808e-06
 4   5         32        2601   2.2398e-05  1.16126e+08   100  1.11565e-05
 4   5         64        4913  2.36592e-05  2.07657e+08   100   1.2531e-05
 4   5        128        9537  2.44641e-05  3.89836e+08   100  1.28603e-05
 4   5        256       18513  3.84245e-05  4.81802e+08   100  2.52053e-05
 4   5        512       35937  5.07018e-05  7.08791e+08   100  3.46089e-05
 4   5       1024       70785  7.05241e-05   1.0037e+09   100  4.97942e-05
 4   5       2048      139425  0.000120523  1.15684e+09   100  9.15069e-05
 4   5       4096      274625  0.000219366   1.2519e+09   100  0.000166094
 4   5       8192      545025  0.000559482  9.74159e+08   100  0.000359379
 4   5      16384     1081665    0.0017548  6.16402e+08   100   0.00114572
 4   5      32768     2146689   0.00442412  4.85224e+08   100    0.0027139
 4   5      65536     4276737    0.0104016  4.11161e+08   100   0.00554988
 4   5     131072     8520321    0.0221313   3.8499e+08   100    0.0109619
 4   5     262144    16974593    0.0433506  3.91565e+08   100    0.0213129
 4   5     524288    33883137    0.0865198  3.91623e+08   100    0.0416393
 4   5    1048576    67634433      0.17035  3.97031e+08   100    0.0819425


